"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2216364764,3011365.168478,48.56,52641,6041845,2430605.174229
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1055425490,4122755.820312,23.12,2001828,6220527,1970581.709959
"attention_fp8_e4m3_fa2_gqa_qresident_gfx1201",32,336060926,10501903.937500,7.36,9888658,10773430,174381.408418
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,274501141,2144540.164062,6.01,2104470,2173831,17971.688103
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,171889870,671444.804688,3.77,563687,700769,27778.971567
"gdn_chunk_scan",1536,154165415,100368.108724,3.38,83882,107761,2681.448403
"gated_norm_mq_rotate_awq_i4_gfx12",96,134115635,1397037.864583,2.94,1182977,1423860,36085.128784
"gdn_chunk_prep",96,86606974,902155.979167,1.90,895812,909093,2183.528921
"deinterleave_q_rmsnorm_f32_batched",32,44809144,1400285.750000,0.9817,1388459,1413900,5978.609176
"gdn_chunk_kkt_solve",1536,35011834,22794.162760,0.7671,19120,24760,545.098800
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23737931,741810.343750,0.5201,736650,755291,5563.742321
"rope_partial_halfsplit_batched_f32",32,11724043,366376.343750,0.2569,362445,369525,1851.916925
"rmsnorm_f32",34,7351063,216207.735294,0.1611,14840,233203,51177.365091
"kv_cache_write_fp8_e4m3_batched",64,6061403,94709.421875,0.1328,91562,104961,3028.205817
"__amd_rocclr_fillBufferUnAligned",1824,3323440,1822.061404,0.0728,1080,13760,969.396883
"gemv_mq4g256v2_multirow_r2",2,2179670,1089835.000000,0.0478,1089495,1090175,480.832611
"__amd_rocclr_copyBuffer",180,520968,2894.266667,0.0114,2040,4760,364.789456
"embedding_q8_batched",2,491886,245943.000000,0.0108,191202,300684,77415.464618
"mq_rotate_x",2,4800,2400.000000,1.052e-04,2400,2400,0.00000000e+00
