"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2215775963,3010565.167120,49.59,52361,6070884,2437671.758324
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1052640317,4111876.238281,23.56,2001507,6235846,1958201.399165
"attention_fp8_e4m3_fa2_gqa_qresident_gfx1201",32,336352382,10511011.937500,7.53,10073580,10832550,198880.600475
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,271014077,2117297.476562,6.07,2107709,2138710,6312.078365
"gdn_chunk_scan",1536,154129708,100344.861979,3.45,84041,107562,2651.347189
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,120138798,469292.179688,2.69,422646,523207,14332.638147
"gated_norm_mq_rotate_awq_i4_gfx12",96,96142699,1001486.447917,2.15,873212,1021534,22324.877844
"gdn_chunk_prep",96,86574042,901812.937500,1.94,895772,910372,2209.535235
"deinterleave_q_rmsnorm_f32_batched",32,44807741,1400241.906250,1.00,1392899,1416899,5045.754340
"gdn_chunk_kkt_solve",1536,34982751,22775.228516,0.7830,19280,23640,541.371994
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23641727,738803.968750,0.5292,733290,753571,6505.885085
"rope_partial_halfsplit_batched_f32",32,11728363,366511.343750,0.2625,361685,369686,1624.437920
"rmsnorm_f32",34,7361543,216515.970588,0.1648,14561,233643,51327.344576
"kv_cache_write_fp8_e4m3_batched",64,6096010,95250.156250,0.1364,90882,105962,2961.269409
"__amd_rocclr_fillBufferUnAligned",1824,3283599,1800.218750,0.0735,1080,14080,972.843921
"gemv_mq4g256v2_multirow_r2",2,2155590,1077795.000000,0.0482,1077775,1077815,28.284271
"__amd_rocclr_copyBuffer",180,517406,2874.477778,0.0116,2000,4760,364.660375
"embedding_q8_batched",2,493606,246803.000000,0.0110,191962,301644,77556.885974
"mq_rotate_x",2,4880,2440.000000,1.092e-04,2440,2440,0.00000000e+00
