"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2176528585,2957239.925272,48.71,52001,6026751,2398757.978359
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1041531072,4068480.750000,23.31,1900902,6203913,1941091.240796
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,394668152,12333379.750000,8.83,11508974,12482107,167785.636956
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270966896,2116928.875000,6.06,2108824,2137985,4575.118072
"gdn_chunk_scan",1536,151090067,98365.929036,3.38,82121,105882,2661.576527
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,118493941,462866.957031,2.65,412365,525367,13028.363935
"gated_norm_mq_rotate_awq_i4_gfx12",96,94150027,980729.447917,2.11,842290,1002412,25428.789466
"gdn_chunk_prep",96,86530029,901354.468750,1.94,898010,907651,2074.156244
"deinterleave_q_rmsnorm_f32_batched",32,44767925,1398997.656250,1.00,1389056,1408536,4697.416329
"gdn_chunk_kkt_solve",1536,34390021,22389.336589,0.7697,18761,26121,558.453125
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23589479,737171.218750,0.5279,732969,750968,5981.114179
"rope_partial_halfsplit_batched_f32",32,11752734,367272.937500,0.2630,364044,371484,1944.795618
"rmsnorm_f32",34,7231805,212700.147059,0.1619,14560,229562,50372.503091
"kv_cache_write_fp8_e4m3_batched",64,6113113,95517.390625,0.1368,92401,99041,1877.344186
"__amd_rocclr_fillBufferUnAligned",1824,3213621,1761.853618,0.0719,1120,13240,603.516298
"gemv_mq4g256v2_multirow_r2",2,2155785,1077892.500000,0.0482,1077573,1078212,451.841233
"__amd_rocclr_copyBuffer",180,496401,2757.783333,0.0111,1960,3840,257.528396
"embedding_q8_batched",2,493486,246743.000000,0.0110,192362,301124,76906.347735
"mq_rotate_x",2,4680,2340.000000,1.047e-04,2320,2360,28.284271
