"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2178663439,2960140.542120,48.20,51841,5965962,2396655.476155
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1041589423,4068708.683594,23.04,1909306,6192604,1947855.756373
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,394408773,12325274.156250,8.73,11593200,12512931,148611.375732
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270926678,2116614.671875,5.99,2109109,2138509,5641.247959
"fused_rmsnorm_mq_rotate_awq_i4_gfx12_k512",256,169144758,660721.710938,3.74,587048,684409,18540.693151
"gdn_chunk_scan",1536,150701707,98113.090495,3.33,83641,104122,2353.215251
"gated_norm_mq_rotate_awq_i4_gfx12",96,93906931,978197.197917,2.08,856332,999534,20354.791370
"gdn_chunk_prep",96,86515543,901203.572917,1.91,896292,909253,2301.813138
"deinterleave_q_rmsnorm_f32_batched",32,44691893,1396621.656250,0.9887,1384499,1407059,6379.988723
"gdn_chunk_kkt_solve",1536,34318473,22342.755859,0.7592,19081,24161,492.908914
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23605884,737683.875000,0.5222,732570,755491,7141.933965
"rope_partial_halfsplit_batched_f32",32,11774642,367957.562500,0.2605,363245,373485,1956.107325
"rmsnorm_f32",34,7208859,212025.264706,0.1595,14600,229843,50158.127015
"kv_cache_write_fp8_e4m3_batched",64,6180403,96568.796875,0.1367,92282,106561,3220.239882
"__amd_rocclr_fillBufferUnAligned",1824,3424397,1877.410636,0.0758,1120,13800,1132.007873
"gemv_mq4g256v2_multirow_r2",2,2168270,1084135.000000,0.0480,1077695,1090575,9107.535342
"embedding_q8_batched",2,492926,246463.000000,0.0109,191602,301324,77585.170245
"__amd_rocclr_copyBuffer",180,484645,2692.472222,0.0107,1920,3720,199.627654
"mq_rotate_x",2,4840,2420.000000,1.071e-04,2400,2440,28.284271
