"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_gate_up_silu_iu4_v2b_gfx11",128,5229882638,40858458.109375,33.06,39033390,41962350,33689185.311886
"gemm_mq4g256v2_residual_iu4_v2b_add_gfx11",256,4038772907,15776456.667969,25.53,9241129,22420988,6156846.867641
"gemm_mq4g256v2_residual_iu4_v2b_set_gfx11",288,2422147837,8410235.545139,15.31,1383147,14716213,4444924.567011
"attention_q8_0_fa2_gqa_gfx11",512,1674160256,3269844.250000,10.58,234839,6583277,1900101.342597
"gdn_chunk_scan",1536,481701111,313607.494141,3.05,305412,337792,4934.733980
"fused_silu_mul_mq_rotate_awq_i4_hin",128,387611357,3028213.726562,2.45,2980737,4142150,101474.904441
"gdn_chunk_prep",96,312015368,3250160.083333,1.97,3057681,3352352,58920.422774
"fused_rmsnorm_mq_rotate_awq_i4",256,302159649,1180311.128906,1.91,1149271,2118163,61555.960443
"gated_norm_mq_rotate_awq_i4_gfx11",96,235390641,2451985.843750,1.49,2402775,3158309,75851.117699
"split_mq4v2_z_betaalpha",96,195408802,2035508.354167,1.24,2021582,2103015,9985.343214
"deinterleave_q_rmsnorm_f32_batched",32,114798986,3587468.312500,0.7257,3557055,4069293,89210.046270
"rope_partial_halfsplit_batched_f32",32,72693850,2271682.812500,0.4595,2248687,2317055,17822.763801
"gdn_chunk_kkt_solve",1536,72193333,47000.867839,0.4564,41719,58911,2493.543268
"sigmoid_mul_rotate_x_mq_awq_i4_gfx11",32,62376624,1949269.500000,0.3943,1899875,2676728,134015.029628
"fused_gate_up_mq4g256v2",128,55266995,431773.398438,0.3494,420266,596917,21573.132241
"attention_fa2_q_preconvert_gfx11",512,42192591,82407.404297,0.2667,64481,148117,17349.501144
"gemv_mq4g256v2_residual_row_serial_gfx1151",256,37804284,147672.984375,0.2390,75862,293548,69355.794902
"fused_qkvza_mq4g256v2",96,19403467,202119.447917,0.1227,196769,324167,19936.562511
"kv_cache_write_q8_0_batched",1024,15511480,15147.929688,0.0981,12102,50535,3152.645592
"gemv_mq4g256v2_multirow_r2",4,11946229,2986557.250000,0.0755,2936374,3029869,50283.062340
"rmsnorm_f32",100,10329003,103290.030000,0.0653,1643,889143,158741.856060
"attention_flash_q8_0_tile",32,6011570,187861.562500,0.0380,162104,577040,71392.876754
"fused_qkv_mq4g256v2",32,5613745,175429.531250,0.0355,172082,252352,14047.876531
"__amd_rocclr_copyBuffer",572,3075446,5376.653846,0.0194,1042,20318,4896.626541
"gated_delta_net_q8_fast",96,2771386,28868.604167,0.0175,25808,54542,4677.614485
"fused_rmsnorm_mq_rotate_awq",256,1789343,6989.621094,0.0113,5891,30617,3371.135714
"embedding_q8_batched",2,1706633,853316.500000,0.0108,823942,882691,41541.816288
"__amd_rocclr_fillBufferUnAligned",480,1191955,2483.239583,7.535e-03,721,8256,2073.383232
"attention_flash_q8_0_reduce",32,523378,16355.562500,3.309e-03,14146,61235,8199.740688
"fused_silu_mul_mq_rotate_awq",128,381278,2978.734375,2.410e-03,2084,11462,1767.740350
"conv1d_silu_split_qknorm_b256",96,293071,3052.822917,1.853e-03,2525,9859,1120.093906
"gated_norm_f32",96,291979,3041.447917,1.846e-03,2404,12664,1590.758124
"rotate_x_mq_awq",128,241254,1884.796875,1.525e-03,1443,9778,1123.728309
"fused_sigmoid_alpha_gate_f32",96,174403,1816.697917,1.103e-03,1443,7214,799.786197
"rope_partial_halfsplit_f32",32,164913,5153.531250,1.043e-03,4088,26290,3877.268626
"repeat_interleave_qk_f32",96,156737,1632.677083,9.908e-04,1082,7134,1336.644554
"kv_cache_write_q8_0",64,124067,1938.546875,7.843e-04,1162,8135,1509.929494
"sample_topk_partial_fast21",4,119063,29765.750000,7.527e-04,27091,32581,2775.957177
"sample_topk_finalize_fast21",4,62556,15639.000000,3.955e-04,15389,15869,227.156334
"deinterleave_f32",32,50892,1590.375000,3.217e-04,1242,6772,951.160132
"embedding_q8",2,44042,22021.000000,2.784e-04,21360,22682,934.795165
"sigmoid_mul_f32",32,41518,1297.437500,2.625e-04,1042,6492,948.850542
"mq_rotate_x",4,6933,1733.250000,4.383e-05,1483,1964,197.366622
