"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_gate_up_silu_iu4_v2b_gfx11",128,5242323633,40955653.382812,33.57,38678933,41999914,33690525.930509
"gemm_mq4g256v2_residual_iu4_v2b_set_gfx11",416,3338443141,8025103.704327,21.38,1376336,14870587,3781834.146428
"gemm_mq4g256v2_residual_iu4_v2b_add_touch_gfx11",128,2711331452,21182276.968750,17.36,20506937,21674038,216250.337544
"attention_q8_0_fa2_gqa_gfx11",512,1676088521,3273610.392578,10.73,229028,6489904,1903286.010069
"gdn_chunk_scan",1536,481421654,313425.555990,3.08,303448,337993,4786.266673
"fused_silu_mul_mq_rotate_awq_i4_hin",128,383984247,2999876.929688,2.46,2940983,4044327,95533.071399
"fused_rmsnorm_mq_rotate_awq_i4_fold",128,348439895,2722186.679688,2.23,2683301,3109658,47803.228863
"gdn_chunk_prep",96,310506707,3234444.864583,1.99,3029469,3417395,74949.075600
"gated_norm_mq_rotate_awq_i4_gfx11",96,232674339,2423691.031250,1.49,2377209,3358564,98523.257328
"split_mq4v2_z_betaalpha",96,195105265,2032346.510417,1.25,2019580,2053442,8475.244066
"fused_rmsnorm_mq_rotate_awq_i4",128,154504483,1207066.273438,0.9894,1168387,2323066,102099.925861
"deinterleave_q_rmsnorm_f32_batched",32,113601188,3550037.125000,0.7275,3519627,3929192,70809.253952
"gdn_chunk_kkt_solve",1536,74142695,48269.983724,0.4748,39995,65723,3463.071606
"rope_partial_halfsplit_batched_f32",32,72687865,2271495.781250,0.4655,2225604,2315453,18744.259831
"sigmoid_mul_rotate_x_mq_awq_i4_gfx11",32,62155073,1942346.031250,0.3980,1901759,2370917,80475.453464
"fused_gate_up_mq4g256v2",128,55272965,431820.039062,0.3540,419826,600965,20709.783967
"attention_fa2_q_preconvert_gfx11",512,42175242,82373.519531,0.2701,64922,150682,17459.996128
"gemv_mq4g256v2_residual_row_serial_gfx1151",256,37850026,147851.664062,0.2424,75902,294631,70142.871039
"fused_qkvza_mq4g256v2",96,19428482,202380.020833,0.1244,196848,321963,18524.810760
"kv_cache_write_q8_0_batched",1024,15481962,15119.103516,0.0991,12062,51015,3117.847962
"gemv_mq4g256v2_multirow_r2",4,11995968,2998992.000000,0.0768,2946072,3048184,55872.171684
"rmsnorm_f32",100,10561686,105616.860000,0.0676,1643,1116449,171293.984827
"attention_flash_q8_0_tile",32,6024791,188274.718750,0.0386,165590,570067,70201.654399
"fused_qkv_mq4g256v2",32,5674171,177317.843750,0.0363,172002,306283,23543.931023
"__amd_rocclr_copyBuffer",572,3089128,5400.573427,0.0198,1041,20839,4915.566177
"gated_delta_net_q8_fast",96,2746461,28608.968750,0.0176,26610,51857,3594.661083
"fused_rmsnorm_mq_rotate_awq",256,1774548,6931.828125,0.0114,5891,31298,3202.676113
"embedding_q8_batched",2,1739095,869547.500000,0.0111,825706,913389,62001.243895
"__amd_rocclr_fillBufferUnAligned",480,1410364,2938.258333,9.032e-03,722,12624,2509.998576
"attention_flash_q8_0_reduce",32,524143,16379.468750,3.357e-03,14347,61675,8274.939505
"fused_silu_mul_mq_rotate_awq",128,387806,3029.734375,2.483e-03,2123,11221,1650.374553
"gated_norm_f32",96,290948,3030.708333,1.863e-03,2445,13065,1474.500450
"conv1d_silu_split_qknorm_b256",96,290023,3021.072917,1.857e-03,2564,9778,962.223108
"rotate_x_mq_awq",128,235077,1836.539062,1.505e-03,1442,9778,1072.485038
"fused_sigmoid_alpha_gate_f32",96,172046,1792.145833,1.102e-03,1482,7293,697.467237
"rope_partial_halfsplit_f32",32,166591,5205.968750,1.067e-03,4088,27051,4002.534935
"repeat_interleave_qk_f32",96,153806,1602.145833,9.850e-04,1082,7133,1304.788154
"kv_cache_write_q8_0",64,123988,1937.312500,7.940e-04,1162,8135,1508.388290
"sample_topk_partial_fast21",4,119022,29755.500000,7.622e-04,26890,32020,2659.974248
"sample_topk_finalize_fast21",4,62116,15529.000000,3.978e-04,15109,15869,324.139887
"deinterleave_f32",32,51011,1594.093750,3.267e-04,1242,6732,945.258400
"embedding_q8",2,44363,22181.500000,2.841e-04,21480,22883,992.070814
"sigmoid_mul_f32",32,41875,1308.593750,2.682e-04,1042,6452,941.091160
"mq_rotate_x",4,6732,1683.000000,4.311e-05,1443,1883,214.165045
