"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2191038644,2976954.679348,48.78,52161,6008315,2414301.164534
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1047152188,4090438.234375,23.31,1902984,6251478,1955351.131969
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,396500426,12390638.312500,8.83,11616506,12610757,166116.332911
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270411766,2112591.921875,6.02,2106346,2132067,5541.971699
"gdn_chunk_scan",1536,152050458,98991.183594,3.39,83041,104721,2576.482013
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,118886758,464401.398438,2.65,410685,521926,13188.652317
"gated_norm_mq_rotate_awq_i4_gfx12",96,94737741,986851.468750,2.11,854571,1008452,24621.173860
"gdn_chunk_prep",96,86516839,901217.072917,1.93,896851,910412,2400.325422
"deinterleave_q_rmsnorm_f32_batched",32,44719677,1397489.906250,0.9956,1390217,1410857,5472.743968
"gdn_chunk_kkt_solve",1536,34571930,22507.766927,0.7697,19080,24641,529.039071
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23607537,737735.531250,0.5256,733729,751410,6490.499866
"rope_partial_halfsplit_batched_f32",32,11756706,367397.062500,0.2617,363964,369685,1478.469979
"rmsnorm_f32",34,7272052,213883.882353,0.1619,14600,231323,50665.710978
"kv_cache_write_fp8_e4m3_batched",64,6159634,96244.281250,0.1371,92002,105961,3031.470597
"__amd_rocclr_fillBufferUnAligned",1824,3279613,1798.033443,0.0730,1080,13680,983.601819
"gemv_mq4g256v2_multirow_r2",2,2180626,1090313.000000,0.0485,1090173,1090453,197.989899
"__amd_rocclr_copyBuffer",180,501565,2786.472222,0.0112,2000,4000,430.951817
"embedding_q8_batched",2,491006,245503.000000,0.0109,191882,299124,75831.545428
"mq_rotate_x",2,4760,2380.000000,1.060e-04,2360,2400,28.284271
