"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2195380229,2982853.572011,48.78,51041,6043479,2420860.679964
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1048201473,4094537.003906,23.29,1914425,6223160,1951761.638297
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,398287556,12446486.125000,8.85,11781314,12625724,143823.912963
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270945862,2116764.546875,6.02,2109147,2137468,5052.015950
"gdn_chunk_scan",1536,152432110,99239.654948,3.39,82481,106362,2525.101067
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,119143430,465404.023438,2.65,414605,525646,12993.648983
"gated_norm_mq_rotate_awq_i4_gfx12",96,95060201,990210.427083,2.11,852171,1010653,21494.441136
"gdn_chunk_prep",96,86483722,900872.104167,1.92,897091,908451,1883.263318
"deinterleave_q_rmsnorm_f32_batched",32,44798582,1399955.687500,0.9954,1391858,1410058,5179.025923
"gdn_chunk_kkt_solve",1536,34653418,22560.819010,0.7700,18880,23960,518.486087
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23514069,734814.656250,0.5225,732650,751170,3269.612768
"rope_partial_halfsplit_batched_f32",32,11734635,366707.343750,0.2607,363724,369605,1541.294274
"rmsnorm_f32",34,7256535,213427.500000,0.1612,14560,231003,50510.290896
"kv_cache_write_fp8_e4m3_batched",64,6111680,95495.000000,0.1358,91841,106041,2859.333122
"__amd_rocclr_fillBufferUnAligned",1824,3344881,1833.816338,0.0743,1120,13640,1042.442019
"gemv_mq4g256v2_multirow_r2",2,2168588,1084294.000000,0.0482,1078294,1090294,8485.281374
"embedding_q8_batched",2,494046,247023.000000,0.0110,192442,301604,77189.190448
"__amd_rocclr_copyBuffer",180,487405,2707.805556,0.0108,2040,3960,220.278622
"mq_rotate_x",2,4720,2360.000000,1.049e-04,2320,2400,56.568542
