"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"attention_fp8_e4m3_fa2_gqa_f16_gfx1201",512,3138054210,6129012.128906,44.00,591647,11743463,3208938.656136
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2138809685,2905991.419837,29.99,50961,6060753,2358267.285329
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,995954794,3890448.414062,13.96,1856262,6318716,1902775.326011
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,271146774,2118334.171875,3.80,2109746,2139466,5960.479216
"gdn_chunk_scan",1536,143101994,93165.360677,2.01,81521,106082,4658.080821
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,112918734,441088.804688,1.58,391125,494406,27654.275942
"gated_norm_mq_rotate_awq_i4_gfx12",96,86994176,906189.333333,1.22,844651,999892,57138.102781
"gdn_chunk_prep",96,86436408,900379.250000,1.21,895330,905411,1901.424269
"deinterleave_q_rmsnorm_f32_batched",32,44748346,1398385.812500,0.6274,1389897,1408017,5132.208218
"gdn_chunk_kkt_solve",1536,32857074,21391.324219,0.4607,18640,26640,934.709396
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23735889,741746.531250,0.3328,735289,815930,14971.326752
"attention_fp8_e4m3_fa2_q_preconvert_f16_gfx1201",512,17310165,33808.916016,0.2427,27360,46121,4202.773118
"kv_cache_write_fp8_e4m3_batched",1024,14631378,14288.455078,0.2051,12960,17800,673.108613
"rope_partial_halfsplit_batched_f32",32,11737067,366783.343750,0.1646,362844,370805,1996.793278
"rmsnorm_f32",34,7289166,214387.235294,0.1022,14120,232122,50932.041989
"__amd_rocclr_fillBufferUnAligned",1824,3523561,1931.776864,0.0494,1040,185762,4498.525950
"gemv_mq4g256v2_multirow_r2",2,2166626,1083313.000000,0.0304,1077693,1088933,7947.880221
"__amd_rocclr_copyBuffer",180,491364,2729.800000,6.889e-03,1960,3880,230.208028
"embedding_q8_batched",2,490766,245383.000000,6.881e-03,191882,298884,75661.839801
"mq_rotate_x",2,4640,2320.000000,6.506e-05,2280,2360,56.568542
