"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2188794596,2973905.701087,49.51,52841,6005677,2410358.120445
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1041875043,4069824.386719,23.57,1929825,6212120,1944684.329085
"attention_fp8_e4m3_fa2_gqa_qresident_gfx1201",32,332164926,10380153.937500,7.51,9868328,10678978,183645.302030
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270760209,2115314.132812,6.12,2105548,2137348,6346.510233
"gdn_chunk_scan",1536,151847293,98858.914714,3.43,84281,104882,2561.030432
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,118781606,463990.648438,2.69,415485,531167,14817.761640
"gated_norm_mq_rotate_awq_i4_gfx12",96,94991905,989499.010417,2.15,860972,1010493,24716.655777
"gdn_chunk_prep",96,86549720,901559.583333,1.96,898251,909252,2084.858575
"deinterleave_q_rmsnorm_f32_batched",32,44766817,1398963.031250,1.01,1390578,1414258,5126.263907
"gdn_chunk_kkt_solve",1536,34672091,22572.975911,0.7843,19280,23520,519.906298
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23529701,735303.156250,0.5323,729449,750810,6349.396314
"rope_partial_halfsplit_batched_f32",32,12563563,392611.343750,0.2842,390725,396285,1153.750619
"rmsnorm_f32",34,7281334,214156.882353,0.1647,14920,231123,50654.260890
"kv_cache_write_fp8_e4m3_batched",64,5399629,84369.203125,0.1221,73321,102801,10401.974981
"__amd_rocclr_fillBufferUnAligned",1824,3489998,1913.376096,0.0789,1120,208803,4934.050077
"gemv_mq4g256v2_multirow_r2",2,2172348,1086174.000000,0.0491,1083294,1089054,4072.935060
"embedding_q8_batched",2,631088,315544.000000,0.0143,302764,328324,18073.649327
"__amd_rocclr_copyBuffer",180,472084,2622.688889,0.0107,1920,4640,259.817540
"mq_rotate_x",2,4720,2360.000000,1.068e-04,2320,2400,56.568542
