"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2185100620,2968886.711957,48.78,52560,6030551,2407094.638132
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1042554398,4072478.117188,23.27,1944783,6181633,1945891.865870
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,396793841,12399807.531250,8.86,11694778,12533548,136953.402264
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270177311,2110760.242188,6.03,2102945,2133625,5690.290303
"gdn_chunk_scan",1536,151561135,98672.613932,3.38,84281,104601,2430.088533
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,118754045,463882.988281,2.65,415565,524286,13497.849073
"gated_norm_mq_rotate_awq_i4_gfx12",96,94806447,987567.156250,2.12,874850,1009411,21979.386135
"gdn_chunk_prep",96,86562432,901692.000000,1.93,897931,907491,2126.128995
"deinterleave_q_rmsnorm_f32_batched",32,44790891,1399715.343750,0.9998,1386936,1421257,7229.299268
"gdn_chunk_kkt_solve",1536,34786088,22647.192708,0.7765,19280,26840,512.805443
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23478635,733707.343750,0.5241,730089,748648,5735.928097
"rope_partial_halfsplit_batched_f32",32,11685776,365180.500000,0.2609,362165,367884,1455.955689
"rmsnorm_f32",34,7303847,214819.029412,0.1630,14520,231523,50912.854866
"kv_cache_write_fp8_e4m3_batched",64,4988698,77948.406250,0.1114,64400,99801,12476.006292
"__amd_rocclr_fillBufferUnAligned",1824,3249723,1781.646382,0.0725,1120,13841,892.130850
"gemv_mq4g256v2_multirow_r2",2,2167905,1083952.500000,0.0484,1078132,1089773,8231.430040
"embedding_q8_batched",2,604646,302323.000000,0.0135,301683,302963,905.096680
"__amd_rocclr_copyBuffer",180,476484,2647.133333,0.0106,2000,4000,254.368369
"mq_rotate_x",2,4720,2360.000000,1.054e-04,2360,2360,0.00000000e+00
