"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2177833495,2959012.900815,47.76,51761,6058960,2397202.228805
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1037987186,4054637.445312,22.76,1876105,6246122,1947741.306005
"attention_fp8_e4m3_fa2_gqa_qresident_gfx1201",32,486772392,15211637.250000,10.68,14731033,15481524,169159.059689
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,271016600,2117317.187500,5.94,2109548,2138428,5989.278728
"gdn_chunk_scan",1536,151868955,98873.017578,3.33,83121,105002,2594.975143
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,118222034,461804.820312,2.59,411565,525927,17819.745331
"gated_norm_mq_rotate_awq_i4_gfx12",96,94733483,986807.114583,2.08,853331,1016653,24754.812290
"gdn_chunk_prep",96,86588095,901959.322917,1.90,897931,908051,2147.158781
"deinterleave_q_rmsnorm_f32_batched",32,44723586,1397612.062500,0.9808,1387538,1407179,4342.158531
"gdn_chunk_kkt_solve",1536,34529183,22479.936849,0.7573,19080,23441,527.393824
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23672672,739771.000000,0.5192,733089,758250,8191.810340
"rope_partial_halfsplit_batched_f32",32,11755753,367367.281250,0.2578,364365,373324,2037.646971
"rmsnorm_f32",34,7249096,213208.705882,0.1590,14320,231683,50570.883452
"kv_cache_write_fp8_e4m3_batched",64,6073206,94893.843750,0.1332,90761,106842,2627.864195
"__amd_rocclr_fillBufferUnAligned",1824,3506292,1922.309211,0.0769,1120,207203,4877.144197
"gemv_mq4g256v2_multirow_r2",2,2167988,1083994.000000,0.0475,1078334,1089654,8004.448763
"embedding_q8_batched",2,493246,246623.000000,0.0108,191202,302044,78377.129840
"__amd_rocclr_copyBuffer",180,482844,2682.466667,0.0106,1920,3640,192.011825
"mq_rotate_x",2,4640,2320.000000,1.018e-04,2280,2360,56.568542
