"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2181109332,2963463.766304,48.78,51441,6014625,2402751.455663
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1036869619,4050271.949219,23.19,1888221,6152746,1929989.524158
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,397164550,12411392.187500,8.88,11496125,13009220,207424.504073
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270995141,2117149.539062,6.06,2109263,2139583,5267.663506
"gdn_chunk_scan",1536,151487073,98624.396484,3.39,82961,109161,2859.510878
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,118463331,462747.386719,2.65,407164,514766,13554.377465
"gated_norm_mq_rotate_awq_i4_gfx12",96,94390627,983235.697917,2.11,846569,1006651,27501.673357
"gdn_chunk_prep",96,86610777,902195.593750,1.94,898369,909969,2155.600244
"deinterleave_q_rmsnorm_f32_batched",32,44742765,1398211.406250,1.00,1385975,1417615,7124.636384
"gdn_chunk_kkt_solve",1536,34476052,22445.346354,0.7710,18960,25960,594.419470
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23625055,738282.968750,0.5283,733008,831208,17392.872392
"rope_partial_halfsplit_batched_f32",32,11742807,366962.718750,0.2626,364244,369884,1373.028070
"rmsnorm_f32",34,7251278,213272.882353,0.1622,14640,229442,50521.733192
"kv_cache_write_fp8_e4m3_batched",64,6097026,95266.031250,0.1364,91921,105961,3237.843840
"__amd_rocclr_fillBufferUnAligned",1824,3364919,1844.802083,0.0753,1120,13400,1059.151208
"gemv_mq4g256v2_multirow_r2",2,2181303,1090651.500000,0.0488,1089491,1091812,1641.194839
"embedding_q8_batched",2,492565,246282.500000,0.0110,192122,300443,76594.513645
"__amd_rocclr_copyBuffer",180,486602,2703.344444,0.0109,1960,3880,216.373212
"mq_rotate_x",2,4800,2400.000000,1.073e-04,2400,2400,0.00000000e+00
