"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2185051752,2968820.315217,49.47,51881,6055074,2407023.383930
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1042219584,4071170.250000,23.60,1901623,6200356,1945468.433367
"attention_fp8_e4m3_fa2_gqa_qresident_gfx1201",32,331985631,10374550.968750,7.52,9691039,10608531,207306.106054
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,271031252,2117431.656250,6.14,2110706,2140986,5765.294370
"gdn_chunk_scan",1536,151769436,98808.226562,3.44,81961,105081,2651.040094
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,118666540,463541.171875,2.69,414726,518967,14229.836121
"gated_norm_mq_rotate_awq_i4_gfx12",96,94707320,986534.583333,2.14,847610,1010413,25563.193578
"gdn_chunk_prep",96,86561060,901677.708333,1.96,895891,908891,2314.483286
"deinterleave_q_rmsnorm_f32_batched",32,44797787,1399930.843750,1.01,1390617,1408897,4747.711674
"gdn_chunk_kkt_solve",1536,34549902,22493.425781,0.7823,18880,28480,577.460528
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23594648,737332.750000,0.5342,732569,752489,5403.535617
"rope_partial_halfsplit_batched_f32",32,11728902,366528.187500,0.2656,363284,369644,1648.005763
"rmsnorm_f32",34,7255049,213383.794118,0.1643,14520,229843,50559.443503
"kv_cache_write_fp8_e4m3_batched",64,6080797,95012.453125,0.1377,91641,105881,2317.677881
"__amd_rocclr_fillBufferUnAligned",1824,3468686,1901.691886,0.0785,1120,13960,1179.876846
"gemv_mq4g256v2_multirow_r2",2,2167266,1083633.000000,0.0491,1077213,1090053,9079.251070
"embedding_q8_batched",2,492686,246343.000000,0.0112,192082,300604,76736.642108
"__amd_rocclr_copyBuffer",180,485643,2698.016667,0.0110,2040,4120,217.087565
"mq_rotate_x",2,4720,2360.000000,1.069e-04,2360,2360,0.00000000e+00
