"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_iu4_v2b_set_gfx11",544,7557225626,13891958.871324,46.21,1362833,20844524,15268700.777895
"gemm_mq4g256v2_residual_iu4_v2b_add_gfx11",256,3969631219,15506371.949219,24.28,8981623,22147444,5938292.724379
"attention_q8_0_fa2_gqa_gfx11",512,1663846326,3249699.855469,10.17,241652,6435774,1881296.736995
"fused_silu_mul_mq_rotate_awq_i4",128,734293134,5736665.109375,4.49,5649421,6383697,66312.448385
"gdn_chunk_scan",1536,481949772,313769.382812,2.95,304771,342602,5110.209784
"fused_rmsnorm_mq_rotate_awq_i4",256,387275521,1512795.003906,2.37,1149393,2864005,440620.600817
"gemm_mq4g256v2_residual_wmma_gfx11_mw4_lds",192,369061043,1922192.932292,2.26,1489390,2698735,193031.736410
"gdn_chunk_prep",96,308322958,3211697.479167,1.89,3044943,3311563,34056.145341
"gated_norm_mq_rotate_awq_i4_gfx11",96,234077890,2438311.354167,1.43,2389516,3209772,82427.986374
"deinterleave_q_rmsnorm_f32_batched",32,113285034,3540157.312500,0.6928,3514984,3785050,48465.375722
"convert_f32_to_f16",96,107072674,1115340.354167,0.6548,1102786,1451639,37027.766006
"gdn_chunk_kkt_solve",1536,73645678,47946.404948,0.4504,40436,58029,3183.616921
"rope_partial_halfsplit_batched_f32",32,72613850,2269182.812500,0.4441,2233344,2369118,21448.981707
"sigmoid_mul_rotate_x_mq_awq_i4_gfx11",32,62044044,1938876.375000,0.3794,1885733,2464166,98650.215322
"fused_gate_up_mq4g256v2",128,55264204,431751.593750,0.3380,420548,597880,23040.001340
"attention_fa2_q_preconvert_gfx11",512,41867943,81773.326172,0.2560,63839,147236,17056.168783
"gemv_mq4g256v2_residual_row_serial_gfx1151",256,37762653,147510.363281,0.2309,75942,295112,69647.880372
"fused_qkvza_mq4g256v2",96,19517743,203309.822917,0.1194,196448,362740,22446.291665
"kv_cache_write_q8_0_batched",1024,15433961,15072.227539,0.0944,12103,50765,3130.977468
"gemv_mq4g256v2_multirow_r2",4,11957516,2989379.000000,0.0731,2934937,3041336,57476.933547
"rmsnorm_f32",100,10297121,102971.210000,0.0630,1603,879487,158029.030033
"attention_flash_q8_0_tile",32,6034098,188565.562500,0.0369,163466,567022,69483.818613
"fused_qkv_mq4g256v2",32,5602530,175079.062500,0.0343,171161,250349,13761.476320
"__amd_rocclr_copyBuffer",572,3112823,5441.998252,0.0190,1002,20839,4962.027410
"gated_delta_net_q8_fast",96,2708074,28209.104167,0.0166,24766,51577,4412.703595
"__amd_rocclr_fillBufferUnAligned",672,2385339,3549.611607,0.0146,1041,15349,3229.864040
"fused_rmsnorm_mq_rotate_awq",256,1806265,7055.722656,0.0110,5811,30377,3411.651975
"embedding_q8_batched",2,1732485,866242.500000,0.0106,823582,908903,60331.057678
"attention_flash_q8_0_reduce",32,522657,16333.031250,3.196e-03,14186,60914,8143.283658
"fused_silu_mul_mq_rotate_awq",128,327373,2557.601562,2.002e-03,2044,11181,1065.680414
"gated_norm_f32",96,302408,3150.083333,1.849e-03,2444,12864,1628.231534
"conv1d_silu_split_qknorm_b256",96,293784,3060.250000,1.797e-03,2525,9778,1162.981043
"rotate_x_mq_awq",128,237127,1852.554688,1.450e-03,1442,9618,1103.944523
"rope_partial_halfsplit_f32",32,235680,7365.000000,1.441e-03,4168,27371,4480.336501
"fused_sigmoid_alpha_gate_f32",96,171924,1790.875000,1.051e-03,1203,7093,794.169533
"repeat_interleave_qk_f32",96,140699,1465.614583,8.604e-04,881,7173,1339.888160
"sample_topk_partial_fast21",4,119544,29886.000000,7.310e-04,27772,31859,2194.785487
"kv_cache_write_q8_0",64,108926,1701.968750,6.661e-04,1122,8095,1244.776973
"sample_topk_finalize_fast21",4,62837,15709.250000,3.843e-04,15268,16030,338.783485
"deinterleave_f32",32,49728,1554.000000,3.041e-04,1283,6652,935.449280
"sigmoid_mul_f32",32,42238,1319.937500,2.583e-04,1082,6532,953.377153
"embedding_q8",2,28974,14487.000000,1.772e-04,7414,21560,10002.732527
"mq_rotate_x",4,7134,1783.500000,4.363e-05,1523,2164,300.755161
