"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_gate_up_silu_iu4_v2b_gfx11",128,5196070765,40594302.851562,32.29,38753028,41711448,33689236.325268
"gemm_mq4g256v2_residual_iu4_v2b_add_gfx11",256,4017442130,15693133.320312,24.97,9066743,22276886,6127911.520647
"gemm_mq4g256v2_residual_iu4_v2b_set_gfx11",288,2391758559,8304717.218750,14.86,1369846,14555464,4362576.518902
"attention_q8_0_fa2_gqa_gfx11",512,1669478675,3260700.537109,10.37,233357,6559888,1890866.127846
"gdn_chunk_scan",1536,482073636,313850.023438,3.00,304410,343163,5551.815541
"fused_rmsnorm_mq_rotate_awq_i4",256,387377181,1513192.113281,2.41,1150034,2856831,439761.273095
"fused_silu_mul_mq_rotate_awq_i4_hin",128,386815720,3021997.812500,2.40,2964393,4429066,126715.965020
"gemm_mq4g256v2_residual_wmma_gfx11_mw4_lds",192,367133344,1912152.833333,2.28,1451839,2443176,199317.581082
"gdn_chunk_prep",96,310514138,3234522.270833,1.93,3092873,3440524,42280.762680
"gated_norm_mq_rotate_awq_i4_gfx11",96,234838988,2446239.458333,1.46,2405345,3452988,105624.920354
"deinterleave_q_rmsnorm_f32_batched",32,115071819,3595994.343750,0.7151,3562954,4052230,85506.634676
"convert_f32_to_f16",96,106820003,1112708.364583,0.6638,1104309,1180852,9509.645931
"gdn_chunk_kkt_solve",1536,73546767,47882.009766,0.4571,40636,62917,3144.453530
"rope_partial_halfsplit_batched_f32",32,72608201,2269006.281250,0.4512,2259112,2305439,9458.909343
"sigmoid_mul_rotate_x_mq_awq_i4_gfx11",32,61588759,1924648.718750,0.3827,1878759,2226731,59817.568976
"fused_gate_up_mq4g256v2",128,55312078,432125.609375,0.3437,419906,592670,22214.596485
"attention_fa2_q_preconvert_gfx11",512,42338862,82693.089844,0.2631,64481,151123,17406.323397
"gemv_mq4g256v2_residual_row_serial_gfx1151",256,37751194,147465.601562,0.2346,75661,296073,69442.053720
"fused_qkvza_mq4g256v2",96,19355291,201617.614583,0.1203,197049,320961,17928.578023
"kv_cache_write_q8_0_batched",1024,15290915,14932.534180,0.0950,11983,51216,3015.287630
"gemv_mq4g256v2_multirow_r2",4,11966735,2991683.750000,0.0744,2929608,3054040,63698.841896
"rmsnorm_f32",100,10063569,100635.690000,0.0625,1763,528470,144169.641712
"attention_flash_q8_0_tile",32,6058910,189340.937500,0.0377,161743,568144,69577.649699
"fused_qkv_mq4g256v2",32,5637598,176174.937500,0.0350,171761,253955,14478.118257
"__amd_rocclr_copyBuffer",572,3039510,5313.828671,0.0189,1002,21721,4933.973920
"gated_delta_net_q8_fast",96,2765333,28805.552083,0.0172,26289,51777,4176.090284
"__amd_rocclr_fillBufferUnAligned",672,2671154,3974.931548,0.0166,721,15670,3371.254278
"fused_rmsnorm_mq_rotate_awq",256,1791658,6998.664062,0.0111,5771,30938,3413.105630
"embedding_q8_batched",2,1724950,862475.000000,0.0107,822580,902370,56420.050071
"attention_flash_q8_0_reduce",32,525948,16435.875000,3.268e-03,14267,61916,8307.295712
"fused_silu_mul_mq_rotate_awq",128,331857,2592.632812,2.062e-03,2084,12223,1031.922797
"gated_norm_f32",96,301445,3140.052083,1.873e-03,2444,13385,1743.064334
"conv1d_silu_split_qknorm_b256",96,297118,3094.979167,1.846e-03,2485,10580,1167.894786
"rotate_x_mq_awq",128,242537,1894.820312,1.507e-03,1442,10540,1175.305994
"fused_sigmoid_alpha_gate_f32",96,173322,1805.437500,1.077e-03,1482,7935,858.410401
"rope_partial_halfsplit_f32",32,166116,5191.125000,1.032e-03,4168,27211,4027.809616
"repeat_interleave_qk_f32",96,157815,1643.906250,9.807e-04,1082,7935,1354.652397
"sample_topk_partial_fast21",4,119102,29775.500000,7.402e-04,27010,32740,2866.426521
"kv_cache_write_q8_0",64,110405,1725.078125,6.861e-04,1162,8656,1308.137320
"sample_topk_finalize_fast21",4,62838,15709.500000,3.905e-04,15228,15990,335.620321
"deinterleave_f32",32,53622,1675.687500,3.332e-04,1242,7454,1060.603858
"sigmoid_mul_f32",32,42479,1327.468750,2.640e-04,1082,7054,1047.040529
"embedding_q8",2,28333,14166.500000,1.761e-04,6412,21921,10966.519069
"mq_rotate_x",4,6692,1673.000000,4.159e-05,1523,1843,132.161517
