"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"fused_gate_up_mq4g256v2_frag_wp",2560,620812497,242504.881641,42.10,210483,256803,6486.240478
"gemv_mq4g256v2_residual_frag_wp",2560,324643195,126813.748047,22.02,110602,134442,3484.688090
"fused_qkvza_mq4g256v2",1920,144218583,75113.845312,9.78,72601,103642,3450.438268
"gemv_mq4g256v2_residual",2560,85681361,33469.281641,5.81,29321,46121,1982.145649
"fused_qkv_mq4g256v2",640,46780746,73094.915625,3.17,65521,79442,800.342010
"gemv_mq4g256v2_multirow_r2",41,43911139,1071003.390244,2.98,1067216,1084897,3387.674290
"fused_rmsnorm_mq_rotate_awq",5120,36491166,7127.180859,2.47,6120,8000,179.419521
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_foldfree_frag_wp_gfx1201",64,29408364,459505.687500,1.99,438287,479207,6714.885211
"gemm_mq4g256v2_residual_wmma_fp8_v2_foldfree_frag_wp_gfx1201",64,24269162,379205.656250,1.65,363485,393966,5284.766028
"attention_flash_fp8_e4m3_tile",640,20999351,32811.485938,1.42,23360,40520,4170.108122
"gated_delta_net_q8_fast",1920,14969028,7796.368750,1.02,7320,9921,172.290989
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_foldfree_frag_gfx1201",48,14597900,304122.916667,0.9900,291085,323645,6811.451765
"gemm_mq4g256v2_residual_wmma_fp8_v2_foldfree_frag_gfx1201",64,9723987,151937.296875,0.6595,145322,159363,2274.074462
"fused_silu_mul_mq_rotate_awq",2560,5974460,2333.773438,0.4052,1880,3360,143.182234
"gated_norm_f32",1920,5688679,2962.853646,0.3858,2640,3360,63.334327
"rope_partial_halfsplit_f32",640,4713788,7365.293750,0.3197,6600,7760,162.284805
"gemm_qkv_mq4g256v2_wmma_fp8_v2_foldfree_frag_gfx1201",16,4208142,263008.875000,0.2854,258444,274204,3757.505748
"rotate_x_mq_awq",2560,4044393,1579.841016,0.2743,1360,2160,72.384978
"conv1d_silu_split_qknorm_b256",1920,3773795,1965.518229,0.2559,1680,2920,105.019637
"fused_sigmoid_alpha_gate_f32",1920,3486568,1815.920833,0.2365,1520,2600,170.598096
"rmsnorm_f32",1337,3391295,2536.495886,0.2300,1920,13320,1613.616535
"repeat_interleave_qk_f32",1920,2875131,1497.464062,0.1950,1320,2120,62.454500
"kv_cache_write_fp8_e4m3",1280,2251036,1758.621875,0.1527,1480,2160,98.603561
"gdn_chunk_prep",48,1959187,40816.395833,0.1329,39040,45081,1341.071051
"__amd_rocclr_copyBuffer",622,1911745,3073.545016,0.1297,1400,11920,1202.000070
"fused_silu_mul_mq_rotate_awq_mq4v2_fp8_gfx12_frag",64,1788908,27951.687500,0.1213,26480,29761,589.077376
"attention_flash_q8_0_reduce",640,1523584,2380.600000,0.1033,2120,2840,74.189977
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12_frag",128,1510346,11799.578125,0.1024,11440,14920,375.492571
"gdn_chunk_scan",48,1214779,25307.895833,0.0824,24161,28240,803.797721
"deinterleave_f32",640,1137220,1776.906250,0.0771,1360,2200,69.245592
"sample_topk_partial_fast21",41,1112734,27139.853659,0.0755,25040,27881,629.909778
"gated_norm_mq_rotate_awq_mq4v2_fp8_gfx12_frag",48,1062652,22138.583333,0.0721,18000,193923,25330.876223
"sigmoid_mul_f32",640,919571,1436.829688,0.0624,1280,2120,71.936966
"__amd_rocclr_fillBufferUnAligned",480,898973,1872.860417,0.0610,1160,11680,587.254369
"sample_topk_finalize_fast21",41,715089,17441.195122,0.0485,15680,18241,530.449584
"gdn_chunk_kkt_solve",48,643775,13411.979167,0.0437,12880,14200,247.665139
"embedding_q8",40,269046,6726.150000,0.0182,6040,7120,202.665134
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",16,259086,16192.875000,0.0176,15601,16881,292.574065
"sigmoid_mul_rotate_x_mq_awq_mq4v2_fp8_gfx12_frag",16,220563,13785.187500,0.0150,13320,14480,330.745868
"deinterleave_q_rmsnorm_f32_batched",16,160881,10055.062500,0.0109,9760,10600,242.560087
"rope_partial_halfsplit_batched_f32",16,149041,9315.062500,0.0101,9080,9720,159.902249
"kv_cache_write_fp8_e4m3_batched",32,74120,2316.250000,5.027e-03,1960,4400,421.408927
"mq_rotate_x",41,73280,1787.317073,4.970e-03,1640,2160,79.215667
"embedding_q8_batched",1,6640,6640.000000,4.503e-04,6640,6640,0.00000000e+00
