"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"fused_gate_up_mq4g256v2_wp",2560,519727896,203018.709375,40.50,190922,214762,3324.591561
"gemv_mq4g256v2_residual_wp",2560,241241325,94234.892578,18.80,87681,103001,2056.693971
"fused_qkvza_mq4g256v2",1920,144141585,75073.742188,11.23,72521,103521,3493.367783
"gemv_mq4g256v2_residual",2560,85242210,33297.738281,6.64,29240,47120,1956.282543
"fused_qkv_mq4g256v2",640,46683234,72942.553125,3.64,65280,78441,558.335305
"gemv_mq4g256v2_multirow_r2",41,43910534,1070988.634146,3.42,1067251,1085451,3331.828228
"fused_rmsnorm_mq_rotate_awq",5120,35223973,6879.682227,2.74,6040,12001,211.708211
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_foldfree_frag_wp_gfx1201",64,28662222,447847.218750,2.23,425925,468564,7177.052964
"gemm_mq4g256v2_residual_wmma_fp8_v2_foldfree_frag_wp_gfx1201",64,23646363,369474.421875,1.84,351404,385884,6135.108105
"attention_flash_fp8_e4m3_tile",640,20217656,31590.087500,1.58,23160,39200,4098.917658
"gated_delta_net_q8_fast",1920,14912119,7766.728646,1.16,7320,13401,241.652501
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_foldfree_frag_gfx1201",48,14281748,297536.416667,1.11,283923,320083,7358.045652
"gemm_mq4g256v2_residual_wmma_fp8_v2_foldfree_frag_gfx1201",64,9501735,148464.609375,0.7404,143442,154842,2627.919562
"fused_silu_mul_mq_rotate_awq",2560,5726622,2236.961719,0.4462,1760,3240,159.249743
"gated_norm_f32",1920,5240135,2729.236979,0.4083,2400,3081,125.404769
"rope_partial_halfsplit_f32",640,4552811,7113.767187,0.3547,6480,7561,179.072154
"gemm_qkv_mq4g256v2_wmma_fp8_v2_foldfree_frag_gfx1201",16,4120002,257500.125000,0.3210,251123,270643,4526.452281
"rotate_x_mq_awq",2560,3947961,1542.172266,0.3076,1360,2800,84.722107
"conv1d_silu_split_qknorm_b256",1920,3770359,1963.728646,0.2938,1680,2880,142.623059
"fused_sigmoid_alpha_gate_f32",1920,3395874,1768.684375,0.2646,1520,2440,169.273023
"rmsnorm_f32",1337,3274438,2449.093493,0.2551,1880,13241,1577.386748
"repeat_interleave_qk_f32",1920,2798154,1457.371875,0.2180,1320,1960,63.709102
"kv_cache_write_fp8_e4m3",1280,2107100,1646.171875,0.1642,1400,2320,105.390529
"gdn_chunk_prep",48,1914820,39892.083333,0.1492,38320,43600,1185.092255
"__amd_rocclr_copyBuffer",622,1876508,3016.893891,0.1462,1360,12600,1203.015660
"fused_silu_mul_mq_rotate_awq_mq4v2_fp8_gfx12_frag",64,1766378,27599.656250,0.1376,26240,31121,751.527655
"attention_flash_q8_0_reduce",640,1487170,2323.703125,0.1159,2040,8160,243.795604
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12_frag",128,1482378,11581.078125,0.1155,11160,15160,412.698716
"gdn_chunk_scan",48,1189331,24777.729167,0.0927,24040,27200,630.194220
"deinterleave_f32",640,1114051,1740.704688,0.0868,1320,2240,66.874479
"sample_topk_partial_fast21",41,1063454,25937.902439,0.0829,23440,26840,776.207344
"__amd_rocclr_fillBufferUnAligned",480,912088,1900.183333,0.0711,1120,11640,861.537287
"sigmoid_mul_f32",640,895364,1399.006250,0.0698,1280,1920,70.330452
"gated_norm_mq_rotate_awq_mq4v2_fp8_gfx12_frag",48,875609,18241.854167,0.0682,17481,24080,1058.447719
"sample_topk_finalize_fast21",41,658603,16063.487805,0.0513,14280,17200,628.111938
"gdn_chunk_kkt_solve",48,642524,13385.916667,0.0501,12840,17000,747.570301
"embedding_q8",40,269723,6743.075000,0.0210,6040,7040,198.785078
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",16,253605,15850.312500,0.0198,15280,16560,327.102781
"sigmoid_mul_rotate_x_mq_awq_mq4v2_fp8_gfx12_frag",16,217722,13607.625000,0.0170,13280,14201,283.006684
"deinterleave_q_rmsnorm_f32_batched",16,157403,9837.687500,0.0123,9440,10600,271.901629
"rope_partial_halfsplit_batched_f32",16,145042,9065.125000,0.0113,7400,9400,457.953546
"kv_cache_write_fp8_e4m3_batched",32,71840,2245.000000,5.598e-03,1960,2760,202.627897
"mq_rotate_x",41,70840,1727.804878,5.520e-03,1560,2040,76.534704
"embedding_q8_batched",1,6560,6560.000000,5.111e-04,6560,6560,0.00000000e+00
