"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_foldfree_gfx1201",128,2546891805,19897592.226562,36.68,18356357,20259106,265187.468318
"gemm_mq4g256v2_residual_wmma_fp8_v2_foldfree_gfx1201",256,1745833539,6819662.261719,25.15,3354330,10281435,3231385.985074
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_foldfree_gfx1201",96,929957926,9687061.729167,13.39,8553529,9843387,159190.602239
"fused_silu_mul_mq_rotate_awq_mq4v2_fp8_gfx12",128,408872842,3194319.078125,5.89,3186768,3206968,3924.919133
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,383557616,11986175.500000,5.52,11318811,12178463,145846.872762
"gemm_qkv_mq4g256v2_wmma_fp8_v2_foldfree_gfx1201",32,264413180,8262911.875000,3.81,7708476,8387046,115692.833988
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",256,174421626,681334.476562,2.51,670930,768652,7199.141141
"gdn_chunk_scan",1536,143830577,93639.698568,2.07,84162,98961,1530.096937
"gated_norm_mq_rotate_awq_mq4v2_fp8_gfx12",96,113454071,1181813.239583,1.63,1162537,1188738,4103.874936
"gdn_chunk_prep",96,87196432,908296.166667,1.26,904694,914774,2123.259811
"deinterleave_q_rmsnorm_f32_batched",32,44378708,1386834.625000,0.6392,1376341,1397500,5199.263172
"sigmoid_mul_rotate_x_mq_awq_mq4v2_fp8_gfx12",32,35340653,1104395.406250,0.5090,1102257,1109497,1676.967787
"gdn_chunk_kkt_solve",1536,33125822,21566.290365,0.4771,19560,22441,314.571426
"rope_partial_halfsplit_batched_f32",32,12523306,391353.312500,0.1804,388406,393886,1319.669251
"rmsnorm_f32",34,6950941,204439.441176,0.1001,14480,224043,48235.887229
"kv_cache_write_fp8_e4m3_batched",64,5216842,81513.156250,0.0751,71481,99441,9453.213110
"__amd_rocclr_fillBufferUnAligned",1824,3252128,1782.964912,0.0468,1080,13640,877.999676
"gemv_mq4g256v2_multirow_r2",2,2170312,1085156.000000,0.0313,1080296,1090016,6873.077913
"__amd_rocclr_copyBuffer",308,827694,2687.318182,0.0119,1960,12520,582.027902
"embedding_q8_batched",2,490526,245263.000000,7.065e-03,190562,299964,77358.896075
"mq_rotate_x",2,4680,2340.000000,6.741e-05,2320,2360,28.284271
