"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_foldfree_frag_wp_gfx1201",128,1956610104,15286016.437500,34.38,13988149,17350274,333891.689810
"gemm_mq4g256v2_residual_wmma_fp8_v2_foldfree_frag_wp_gfx1201",128,887856542,6936379.234375,15.60,6338085,8452274,173851.264326
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_foldfree_frag_gfx1201",96,772332219,8045127.281250,13.57,7350379,9548409,194517.343206
"fused_silu_mul_mq_rotate_awq_mq4v2_fp8_gfx12_frag",128,417686536,3263176.062500,7.34,3243604,3975613,63811.712160
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,391473903,12233559.468750,6.88,11283992,12480449,207700.059059
"gemm_mq4g256v2_residual_wmma_fp8_v2_foldfree_frag_gfx1201",128,367289780,2869451.406250,6.45,2576315,5097389,221790.670273
"gemm_qkv_mq4g256v2_wmma_fp8_v2_foldfree_frag_gfx1201",32,215394954,6731092.312500,3.78,6330606,8346233,303746.019210
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12_frag",256,179637665,701709.628906,3.16,671089,3231083,159733.337040
"gdn_chunk_scan",1536,148810443,96881.798828,2.61,85401,255324,4603.221303
"gated_norm_mq_rotate_awq_mq4v2_fp8_gfx12_frag",96,117940476,1228546.625000,2.07,1170175,4092215,295410.861350
"gdn_chunk_prep",96,87480396,911254.125000,1.54,905892,990693,8534.374340
"deinterleave_q_rmsnorm_f32_batched",32,44810128,1400316.500000,0.7873,1382379,1673382,50149.587376
"sigmoid_mul_rotate_x_mq_awq_mq4v2_fp8_gfx12_frag",32,38407600,1200237.500000,0.6748,1103135,4121175,533012.990939
"gdn_chunk_kkt_solve",1536,33940906,22096.944010,0.5964,19321,22840,444.331626
"rope_partial_halfsplit_batched_f32",32,11715958,366123.687500,0.2059,361604,370165,1935.551492
"rmsnorm_f32",34,7135339,209862.911765,0.1254,14720,225563,49678.691677
"kv_cache_write_fp8_e4m3_batched",64,5944161,92877.515625,0.1044,88281,104842,3813.916622
"__amd_rocclr_fillBufferUnAligned",1824,3218398,1764.472588,0.0565,1120,13200,797.980704
"gemv_mq4g256v2_multirow_r2",2,2185950,1092975.000000,0.0384,1086735,1099215,8824.692629
"__amd_rocclr_copyBuffer",308,861808,2798.077922,0.0151,2040,12040,587.013615
"embedding_q8_batched",2,602288,301144.000000,0.0106,300524,301764,876.812409
"mq_rotate_x",2,4720,2360.000000,8.293e-05,2320,2400,56.568542
