"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",128,2671004942,20867226.109375,38.01,19341718,22023110,305107.653863
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201_symfold",256,1704110930,6656683.320312,24.25,3251880,10005685,3153871.813134
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",96,912092523,9500963.781250,12.98,8745868,11375460,237304.031854
"fused_silu_mul_mq_rotate_awq_mq4v2_fp8_gfx12",128,409688967,3200695.054688,5.83,3185440,4185331,87821.170111
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,385601983,12050061.968750,5.49,11212099,12313673,231171.521346
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",32,271018602,8469331.312500,3.86,8046380,9974882,289157.863148
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",256,176356216,688891.468750,2.51,661048,2614912,121521.256234
"gdn_chunk_scan",1536,146609062,95448.608073,2.09,84121,256083,4524.588448
"gated_norm_mq_rotate_awq_mq4v2_fp8_gfx12",96,114977666,1197684.020833,1.64,1160534,2418990,126069.962490
"gdn_chunk_prep",96,86886154,905064.104167,1.24,900971,996652,9693.511630
"deinterleave_q_rmsnorm_f32_batched",32,44575635,1392988.593750,0.6344,1369337,1671820,51164.231923
"sigmoid_mul_rotate_x_mq_awq_mq4v2_fp8_gfx12",32,38156028,1192375.875000,0.5430,1102814,3908608,495658.193186
"gdn_chunk_kkt_solve",1536,33529175,21828.889974,0.4772,19280,23760,396.453153
"rope_partial_halfsplit_batched_f32",32,11732263,366633.218750,0.1670,363405,373085,2208.442273
"rmsnorm_f32",34,7031808,206817.882353,0.1001,14640,234043,49007.169994
"kv_cache_write_fp8_e4m3_batched",64,5893715,92089.296875,0.0839,86841,104801,4816.305515
"__amd_rocclr_fillBufferUnAligned",1824,3452882,1893.027412,0.0491,1120,173402,4126.343040
"gemv_mq4g256v2_multirow_r2",2,2178347,1089173.500000,0.0310,1088533,1089814,905.803787
"__amd_rocclr_copyBuffer",308,865844,2811.181818,0.0123,2000,3640,309.460673
"embedding_q8_batched",2,492526,246263.000000,7.010e-03,192242,300284,76397.230853
"mq_rotate_x",2,4800,2400.000000,6.832e-05,2360,2440,56.568542
