"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",1840,2778829045,1510233.176630,48.74,39560,7431322,2557437.377415
"gemm_mq4g256v2_residual_mmq_iu4_full_add",640,1326413401,2072520.939062,23.27,71121,9380765,2806738.322507
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",80,393571441,4919643.012500,6.90,20881,12457285,6035682.417180
"fused_silu_mul_mq_rotate_awq_i4_gfx12",320,337874050,1055856.406250,5.93,38041,2619283,1242719.623771
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",640,226510938,353923.340625,3.97,18120,889975,410023.104567
"gated_norm_mq_rotate_awq_i4_gfx12",240,168133575,700556.562500,2.95,25361,1747589,826371.099534
"gdn_chunk_scan",1680,152300778,90655.225000,2.67,24561,103522,19800.720551
"gdn_chunk_prep",240,92296955,384570.645833,1.62,36841,907535,422469.113717
"deinterleave_q_rmsnorm_f32_batched",80,45733992,571674.900000,0.8022,16521,1417543,683469.242259
"gdn_chunk_kkt_solve",1680,36061320,21465.071429,0.6325,12760,23040,2386.297816
"fused_gate_up_mq4g256v2",192,30215196,157370.812500,0.5300,151563,164923,4027.451704
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",80,27343365,341792.062500,0.4796,18200,837654,397345.299389
"gemv_mq4g256v2_residual",384,21772411,56698.986979,0.3819,29160,82202,23634.771955
"rope_partial_halfsplit_batched_f32",80,12668245,158353.062500,0.2222,7521,396046,183422.451541
"fused_qkvza_mq4g256v2",144,10969169,76174.784722,0.1924,72321,87441,4292.605402
"gemv_mq4g256v2_multirow_r2",8,8649944,1081243.000000,0.1517,1066898,1090058,7473.012397
"rmsnorm_f32",184,8195337,44539.875000,0.1437,1880,226844,82516.892441
"kv_cache_write_fp8_e4m3_batched",160,5921138,37007.112500,0.1039,1960,105322,43049.656598
"__amd_rocclr_fillBufferUnAligned",2976,4947281,1662.392809,0.0868,1080,14041,610.453707
"fused_qkv_mq4g256v2",48,3501414,72946.125000,0.0614,72001,74001,365.721242
"fused_rmsnorm_mq_rotate_awq",384,2542326,6620.640625,0.0446,6040,8160,265.963191
"attention_flash_fp8_e4m3_tile",48,1943236,40484.083333,0.0341,39040,43121,1142.786029
"gated_delta_net_q8_fast",144,1106182,7681.819444,0.0194,7120,8480,299.899579
"__amd_rocclr_copyBuffer",192,531566,2768.572917,9.324e-03,1880,6880,505.717131
"embedding_q8_batched",5,411049,82209.800000,7.210e-03,6881,192243,100335.716996
"fused_silu_mul_mq_rotate_awq",192,395409,2059.421875,6.936e-03,1720,2840,261.145131
"gated_norm_f32",144,382045,2653.090278,6.701e-03,2400,3440,180.944875
"rope_partial_halfsplit_f32",48,331003,6895.895833,5.806e-03,6480,7320,234.030116
"rotate_x_mq_awq",192,303442,1580.427083,5.322e-03,1360,2320,188.854455
"conv1d_silu_split_qknorm_b256",144,287165,1994.201389,5.037e-03,1680,2760,235.661888
"fused_sigmoid_alpha_gate_f32",144,262845,1825.312500,4.610e-03,1520,2560,267.218526
"repeat_interleave_qk_f32",144,206765,1435.868056,3.627e-03,1160,2160,200.920025
"kv_cache_write_fp8_e4m3",96,169804,1768.791667,2.978e-03,1400,2360,201.075629
"attention_flash_q8_0_reduce",48,149081,3105.854167,2.615e-03,2880,3440,180.707591
"deinterleave_f32",48,79082,1647.541667,1.387e-03,1360,2160,295.417192
"sigmoid_mul_f32",48,72201,1504.187500,1.266e-03,1280,2000,202.095370
"embedding_q8",3,20001,6667.000000,3.508e-04,6480,6880,201.263509
"mq_rotate_x",8,16400,2050.000000,2.877e-04,1600,2400,295.296461
