"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_fp8",640,1964894696,3070147.962500,34.04,133003,7715925,3590405.478867
"gemm_mq4g256v2_residual_mmq_iu4_full_add",640,1311102697,2048597.964063,22.72,71201,7413440,2757107.769343
"gemm_mq4g256v2_residual_mmq_iu4_full_set",1200,903084977,752570.814167,15.65,39280,5227205,1461711.705803
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",80,393817988,4922724.850000,6.82,21240,12505643,6039708.615127
"fused_silu_mul_mq_rotate_awq_fp8_i4_gfx12",320,334999913,1046874.728125,5.80,35481,2600042,1232559.399202
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",640,225934783,353023.098438,3.91,17960,879574,409036.707139
"gated_norm_mq_rotate_awq_i4_gfx12",240,167845646,699356.858333,2.91,25360,1758668,825161.240697
"gdn_chunk_scan",1680,152003816,90478.461905,2.63,24321,106082,19795.203394
"gdn_chunk_prep",240,92206613,384194.220833,1.60,36681,905575,422432.233559
"deinterleave_q_rmsnorm_f32_batched",80,45710780,571384.750000,0.7920,16200,1418863,683280.626136
"gdn_chunk_kkt_solve",1680,35970689,21411.124405,0.6232,12400,25040,2452.882213
"fused_gate_up_mq4g256v2",192,30180402,157189.593750,0.5229,151642,165123,3738.930823
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",80,27450049,343125.612500,0.4756,18200,842653,399006.966714
"gemv_mq4g256v2_residual",384,21763076,56674.677083,0.3771,29241,82962,23665.988724
"rope_partial_halfsplit_batched_f32",80,12668002,158350.025000,0.2195,7720,395086,183330.790067
"fused_qkvza_mq4g256v2",144,10859256,75411.500000,0.1882,72561,83122,3784.831038
"gemv_mq4g256v2_multirow_r2",8,8642298,1080287.250000,0.1497,1077377,1088777,3786.453325
"rmsnorm_f32",184,8180534,44459.423913,0.1417,1880,234524,82566.919048
"kv_cache_write_fp8_e4m3_batched",160,5923937,37024.606250,0.1026,1920,104762,43102.840573
"__amd_rocclr_fillBufferUnAligned",2976,5533925,1859.517809,0.0959,1040,13321,1471.798551
"fused_qkv_mq4g256v2",48,3506697,73056.187500,0.0608,72281,74601,402.290710
"fused_rmsnorm_mq_rotate_awq",384,2541044,6617.302083,0.0440,6041,7921,279.337752
"attention_flash_fp8_e4m3_tile",48,1952557,40678.270833,0.0338,39200,43881,1263.750358
"gated_delta_net_q8_fast",144,1083893,7527.034722,0.0188,7120,8240,264.457841
"__amd_rocclr_copyBuffer",192,537167,2797.744792,9.307e-03,1600,6120,402.051744
"fused_silu_mul_mq_rotate_awq",192,435206,2266.697917,7.541e-03,1760,3160,286.131377
"embedding_q8_batched",5,409327,81865.400000,7.092e-03,6280,192363,100688.248164
"gated_norm_f32",144,390892,2714.527778,6.773e-03,2400,3361,222.987031
"rope_partial_halfsplit_f32",48,330245,6880.104167,5.722e-03,6440,7560,251.636536
"rotate_x_mq_awq",192,303763,1582.098958,5.263e-03,1360,2240,194.349460
"conv1d_silu_split_qknorm_b256",144,283322,1967.513889,4.909e-03,1680,2600,218.172190
"fused_sigmoid_alpha_gate_f32",144,262924,1825.861111,4.556e-03,1280,3120,262.260443
"repeat_interleave_qk_f32",144,202646,1407.263889,3.511e-03,1120,2080,220.353308
"kv_cache_write_fp8_e4m3",96,167163,1741.281250,2.896e-03,1400,2320,237.179155
"attention_flash_q8_0_reduce",48,148362,3090.875000,2.571e-03,2880,3480,183.692924
"deinterleave_f32",48,86321,1798.354167,1.496e-03,1600,2201,190.356384
"sigmoid_mul_f32",48,72521,1510.854167,1.257e-03,1280,2360,233.711314
"embedding_q8",3,20040,6680.000000,3.472e-04,6520,6920,211.660105
"mq_rotate_x",8,16120,2015.000000,2.793e-04,1600,2400,287.600914
