"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",128,2651474406,20714643.796875,32.80,19473543,20908082,160914.560637
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201_symfold",256,1686338986,6587261.664062,20.86,3270964,10059896,3239209.755816
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",96,908839917,9467082.468750,11.24,8700116,9607770,121074.984070
"gated_delta_net_q8_fast",1536,874452382,569304.936198,10.82,450646,599408,16556.281507
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,386887047,12090220.218750,4.79,11217271,12293604,182601.475469
"fused_silu_mul_mq_rotate_awq",128,361577349,2824823.039062,4.47,2817278,2843518,6237.142662
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",32,268970582,8405330.687500,3.33,7954148,8521515,99640.583981
"gdn_pre_batched_gfx1201",96,256357091,2670386.364583,3.17,2497474,2696396,23809.932895
"pack_f32_to_fp8_mq4v2_gfx12",256,234233912,914976.218750,2.90,492407,1335498,414363.645375
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",256,173796374,678892.085938,2.15,667649,995694,21335.506278
"gated_norm_f32",96,94442753,983778.677083,1.17,981773,1000534,4372.654512
"rotate_x_mq_awq",128,80286237,627236.226562,0.9932,621368,649609,5559.815319
"deinterleave_q_rmsnorm_f32_batched",32,44324196,1385131.125000,0.5483,1376339,1393738,5056.195776
"sigmoid_mul_f32",32,31197979,974936.843750,0.3859,973413,981253,1660.372386
"rope_partial_halfsplit_batched_f32",32,11671679,364739.968750,0.1444,362125,368365,1550.493272
"rmsnorm_f32",34,7074934,208086.294118,0.0875,14240,223963,49226.516965
"kv_cache_write_fp8_e4m3_batched",64,4841591,75649.859375,0.0599,62441,97481,12384.932697
"__amd_rocclr_fillBufferUnAligned",1824,3531924,1936.361842,0.0437,1120,212563,5046.896625
"gemv_mq4g256v2_multirow_r2",2,2165788,1082894.000000,0.0268,1076934,1088854,8428.712832
"embedding_q8_batched",2,633569,316784.500000,7.838e-03,302124,331445,20733.077931
"__amd_rocclr_copyBuffer",180,469563,2608.683333,5.809e-03,1880,3480,196.481209
"mq_rotate_x",2,4600,2300.000000,5.691e-05,2240,2360,84.852814
