"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2198954617,2987710.077446,48.86,52040,6047116,2422131.306905
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1043640379,4076720.230469,23.19,1891023,6239479,1941556.588144
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,398844542,12463891.937500,8.86,11806189,12664479,146262.607830
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270978537,2117019.820312,6.02,2109107,2140307,5940.372268
"gdn_chunk_scan",1536,152392704,99214.000000,3.39,82401,104441,2529.481679
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,119087660,465186.171875,2.65,412286,519567,13670.901760
"gated_norm_mq_rotate_awq_i4_gfx12",96,95197643,991642.114583,2.12,847731,1017973,23422.851163
"gdn_chunk_prep",96,86525331,901305.531250,1.92,895812,911252,2187.490184
"deinterleave_q_rmsnorm_f32_batched",32,44718679,1397458.718750,0.9936,1383698,1409537,6538.853408
"gdn_chunk_kkt_solve",1536,34664836,22568.252604,0.7702,18920,23680,533.088931
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23583940,736998.125000,0.5240,733369,751290,5988.589978
"rope_partial_halfsplit_batched_f32",32,11745074,367033.562500,0.2610,362524,371725,1915.404951
"rmsnorm_f32",34,7282969,214204.970588,0.1618,14440,236403,50791.416184
"kv_cache_write_fp8_e4m3_batched",64,6114155,95533.671875,0.1359,92122,107122,2889.748421
"__amd_rocclr_fillBufferUnAligned",1824,3633241,1991.908443,0.0807,1160,13280,1616.520820
"gemv_mq4g256v2_multirow_r2",2,2181108,1090554.000000,0.0485,1090454,1090654,141.421356
"embedding_q8_batched",2,494526,247263.000000,0.0110,192242,302284,77811.444415
"__amd_rocclr_copyBuffer",180,487683,2709.350000,0.0108,2040,3960,204.730467
"mq_rotate_x",2,4640,2320.000000,1.031e-04,2320,2320,0.00000000e+00
