"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",128,2676514922,20910272.828125,36.83,19533693,21230478,244103.497728
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201_symfold",256,1705814471,6663337.777344,23.47,3206168,10103271,3179586.435714
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",96,910291714,9482205.354167,12.53,8409164,9663144,151480.084520
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,386774333,12086697.906250,5.32,11229888,12255263,174830.447043
"fused_silu_mul_mq_rotate_awq",128,361227108,2822086.781250,4.97,2815203,2841242,4856.314128
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",32,268994094,8406065.437500,3.70,7992960,8540287,89227.487732
"pack_f32_to_fp8_mq4v2_gfx12",256,234805432,917208.718750,3.23,482087,1337860,412809.249408
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",256,174063001,679933.597656,2.40,666450,768171,7773.066342
"gdn_chunk_scan",1536,146226493,95199.539714,2.01,85082,101401,1699.160076
"gated_norm_f32",96,96037034,1000385.770833,1.32,996575,1022255,2835.850172
"gdn_chunk_prep",96,86827737,904455.593750,1.19,899533,912494,2317.062303
"rotate_x_mq_awq",128,80262123,627047.835938,1.10,621209,648010,5200.061385
"deinterleave_q_rmsnorm_f32_batched",32,44347460,1385858.125000,0.6102,1376901,1401300,6001.573524
"gdn_chunk_kkt_solve",1536,33407215,21749.488932,0.4597,19480,26320,369.813329
"sigmoid_mul_f32",32,31164021,973875.656250,0.4288,971295,979814,1907.909895
"rope_partial_halfsplit_batched_f32",32,11723615,366362.968750,0.1613,363206,369006,1667.945646
"rmsnorm_f32",34,7011189,206211.441176,0.0965,14200,223244,48761.237166
"kv_cache_write_fp8_e4m3_batched",64,5854367,91474.484375,0.0806,86401,103562,4033.002792
"__amd_rocclr_fillBufferUnAligned",1824,3266210,1790.685307,0.0449,1120,13200,898.069666
"gemv_mq4g256v2_multirow_r2",2,2166672,1083336.000000,0.0298,1077776,1088896,7863.027407
"embedding_q8_batched",2,493086,246543.000000,6.785e-03,191882,301204,77302.327533
"__amd_rocclr_copyBuffer",180,477842,2654.677778,6.575e-03,1960,3520,185.063832
"mq_rotate_x",2,4640,2320.000000,6.384e-05,2320,2320,0.00000000e+00
