"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",128,2716752675,21224630.273438,38.34,19688174,37066313,1746900.071985
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201_symfold",256,1709961262,6679536.179688,24.13,3175487,10190192,3160185.939759
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",96,918403039,9566698.322917,12.96,8411046,12133071,319920.805415
"fused_silu_mul_mq_rotate_awq_mq4v2_fp8_gfx12",128,412214999,3220429.679688,5.82,3185608,6775462,316722.063243
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,386671975,12083499.218750,5.46,11403250,12312824,151566.592089
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",32,270729363,8460292.593750,3.82,7868637,8655369,133667.538602
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",256,179626015,701664.121094,2.53,664210,5797136,319815.021744
"gdn_chunk_scan",1536,146527412,95395.450521,2.07,85201,101921,1737.343993
"gated_norm_mq_rotate_awq_mq4v2_fp8_gfx12",96,113785766,1185268.395833,1.61,1153417,1192658,5302.077514
"gdn_chunk_prep",96,86842304,904607.333333,1.23,900413,912093,2204.470705
"deinterleave_q_rmsnorm_f32_batched",32,44374544,1386704.500000,0.6262,1375061,1409302,7603.991011
"sigmoid_mul_rotate_x_mq_awq_mq4v2_fp8_gfx12",32,35345527,1104547.718750,0.4988,1102417,1110417,1417.804988
"gdn_chunk_kkt_solve",1536,33468562,21789.428385,0.4723,19440,26000,377.974044
"rope_partial_halfsplit_batched_f32",32,11731936,366623.000000,0.1656,363765,372646,1816.351252
"rmsnorm_f32",34,7030585,206781.911765,0.0992,14680,222124,48808.864827
"kv_cache_write_fp8_e4m3_batched",64,5885689,91963.890625,0.0831,86801,105041,4765.785550
"__amd_rocclr_fillBufferUnAligned",1824,3526566,1933.424342,0.0498,1160,14000,1402.931587
"gemv_mq4g256v2_multirow_r2",2,2165232,1082616.000000,0.0306,1076656,1088576,8428.712832
"embedding_q8_batched",2,492007,246003.500000,6.943e-03,191522,300485,77048.476198
"__amd_rocclr_copyBuffer",180,481808,2676.711111,6.799e-03,2240,3360,197.296546
"mq_rotate_x",2,4680,2340.000000,6.605e-05,2320,2360,28.284271
