gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold	64	758.251
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold	128	520.613
gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold	240	355.567
attention_fp8_e4m3_fa2_gqa_qresident_gfx1201	16	167.551
gdn_chunk_scan	768	76.418
fused_silu_mul_mq_rotate_awq_i4_hin_gfx12	64	73.041
fused_rmsnorm_mq_rotate_awq_i4_gfx12	128	60.016
gated_norm_mq_rotate_awq_i4_gfx12	48	47.732
gdn_chunk_prep	48	43.178
deinterleave_q_rmsnorm_f32_batched	16	22.506
gdn_chunk_kkt_solve	768	17.393
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.760
fused_gate_up_mq4g256v2	64	9.998
gemv_mq4g256v2_residual	128	7.274
rope_partial_halfsplit_batched_f32	16	5.520
rmsnorm_f32	50	3.749
fused_qkvza_mq4g256v2	48	3.616
kv_cache_write_fp8_e4m3_batched	32	3.095
gemv_mq4g256v2_multirow_r2	2	2.159
__amd_rocclr_fillBufferUnAligned	192	1.315
attention_flash_fp8_e4m3_tile	16	1.161
fused_qkv_mq4g256v2	16	1.149
embedding_q8_batched	1	0.942
fused_rmsnorm_mq_rotate_awq	128	0.819
__amd_rocclr_copyBuffer	197	0.660
gated_delta_net_q8_fast	48	0.371
attention_flash_q8_0_reduce	16	0.333
fused_silu_mul_mq_rotate_awq	64	0.130
gated_norm_f32	48	0.121
rope_partial_halfsplit_f32	16	0.107
rotate_x_mq_awq	64	0.092
conv1d_silu_split_qknorm_b256	48	0.091
fused_sigmoid_alpha_gate_f32	48	0.083
repeat_interleave_qk_f32	48	0.067
sample_topk_partial_fast21	2	0.055
kv_cache_write_fp8_e4m3	32	0.054
sample_topk_finalize_fast21	2	0.034
deinterleave_f32	16	0.030
sigmoid_mul_f32	16	0.020
embedding_q8	1	0.007
mq_rotate_x	2	0.004
