gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold	368	1095.074
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold	128	518.872
attention_fp8_e4m3_fa2_gqa_qresident_gfx1201	16	167.099
fused_silu_mul_mq_rotate_awq_i4_gfx12	64	135.524
gdn_chunk_scan	768	75.742
fused_rmsnorm_mq_rotate_awq_i4_gfx12	128	59.758
gated_norm_mq_rotate_awq_i4_gfx12	48	47.319
gdn_chunk_prep	48	43.281
deinterleave_q_rmsnorm_f32_batched	16	22.431
gdn_chunk_kkt_solve	768	17.249
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.738
fused_gate_up_mq4g256v2	64	10.035
gemv_mq4g256v2_residual	128	7.292
rope_partial_halfsplit_batched_f32	16	6.153
rmsnorm_f32	50	3.722
fused_qkvza_mq4g256v2	48	3.690
kv_cache_write_fp8_e4m3_batched	32	2.378
gemv_mq4g256v2_multirow_r2	2	2.161
attention_flash_fp8_e4m3_tile	16	1.187
fused_qkv_mq4g256v2	16	1.163
__amd_rocclr_fillBufferUnAligned	192	1.160
fused_rmsnorm_mq_rotate_awq	128	0.832
embedding_q8_batched	1	0.772
__amd_rocclr_copyBuffer	197	0.664
gated_delta_net_q8_fast	48	0.373
attention_flash_q8_0_reduce	16	0.334
fused_silu_mul_mq_rotate_awq	64	0.127
gated_norm_f32	48	0.122
rope_partial_halfsplit_f32	16	0.109
rotate_x_mq_awq	64	0.093
conv1d_silu_split_qknorm_b256	48	0.090
fused_sigmoid_alpha_gate_f32	48	0.083
repeat_interleave_qk_f32	48	0.068
sample_topk_partial_fast21	2	0.054
kv_cache_write_fp8_e4m3	32	0.053
sample_topk_finalize_fast21	2	0.034
deinterleave_f32	16	0.027
sigmoid_mul_f32	16	0.021
embedding_q8	1	0.007
mq_rotate_x	2	0.004
