"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",128,2671723984,20872843.625000,38.08,19591296,21176157,276864.305752
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201_symfold",256,1702965903,6652210.558594,24.27,3174921,9968770,3172479.459721
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",96,910411501,9483453.135417,12.98,8775195,9658526,128045.455801
"fused_silu_mul_mq_rotate_awq_mq4v2_fp8_gfx12",128,408525000,3191601.562500,5.82,3184642,3205962,3537.190165
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,386494270,12077945.937500,5.51,11375228,12328321,156570.279948
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",32,269047427,8407732.093750,3.84,7831022,8512311,116626.876989
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",256,174642355,682196.699219,2.49,662329,772730,9168.476465
"gdn_chunk_scan",1536,146449678,95344.842448,2.09,83441,99921,1782.281425
"gated_norm_mq_rotate_awq_mq4v2_fp8_gfx12",96,113803081,1185448.760417,1.62,1166055,1220856,5738.253524
"gdn_chunk_prep",96,86873291,904930.114583,1.24,901172,913972,2158.818195
"deinterleave_q_rmsnorm_f32_batched",32,44374580,1386705.625000,0.6325,1377257,1402339,5804.157091
"sigmoid_mul_rotate_x_mq_awq_mq4v2_fp8_gfx12",32,35354865,1104839.531250,0.5040,1101814,1110535,1611.131820
"gdn_chunk_kkt_solve",1536,33462221,21785.300130,0.4770,19240,27360,395.382232
"rope_partial_halfsplit_batched_f32",32,11727391,366480.968750,0.1672,363924,370404,1658.352554
"rmsnorm_f32",34,7051652,207401.529412,0.1005,14440,223043,49019.615081
"kv_cache_write_fp8_e4m3_batched",64,5907676,92307.437500,0.0842,86921,104242,4496.629425
"__amd_rocclr_fillBufferUnAligned",1824,3443084,1887.655702,0.0491,1080,174242,4162.200699
"gemv_mq4g256v2_multirow_r2",2,2166148,1083074.000000,0.0309,1076894,1089254,8739.839815
"embedding_q8_batched",2,600328,300164.000000,8.557e-03,300124,300204,56.568542
"__amd_rocclr_copyBuffer",180,497763,2765.350000,7.095e-03,2000,3920,280.202351
"mq_rotate_x",2,4680,2340.000000,6.671e-05,2320,2360,28.284271
