"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_shiftfold",736,2167214839,2944585.379076,43.90,105002,5916202,2375305.484845
"gemm_mq4g256v2_residual_mmq_iu4_full_add_shiftfold",256,1002844348,3917360.734375,20.32,1953747,5816640,1778630.175631
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,372245616,11632675.500000,7.54,11257235,11812364,99589.786223
"fused_silu_mul_mq_rotate_awq",128,363718215,2841548.554688,7.37,2833959,2859600,5337.085274
"quantize_int4_mmq_row",512,342119745,668202.626953,6.93,369165,1441620,443281.116597
"fused_rmsnorm_mq_rotate_awq",256,144159500,563123.046875,2.92,559408,687089,10148.659835
"gdn_chunk_scan",1536,138525143,90185.639974,2.81,84081,96441,1366.174425
"gated_norm_f32",96,96245090,1002553.020833,1.95,997454,1018934,2666.421063
"gdn_chunk_prep",96,87708485,913630.052083,1.78,907093,920853,2528.752987
"rotate_x_mq_awq",128,80463354,628619.953125,1.63,621448,653049,6458.119934
"deinterleave_q_rmsnorm_f32_batched",32,45743112,1429472.250000,0.9266,1419700,1441980,5425.340322
"gdn_chunk_kkt_solve",1536,31939764,20794.117188,0.6470,19240,21680,291.726800
"sigmoid_mul_f32",32,31204425,975138.281250,0.6321,972693,980293,2192.775208
"rope_partial_halfsplit_batched_f32",32,12197610,381175.312500,0.2471,377965,387206,2002.183702
"rmsnorm_f32",34,6831454,200925.117647,0.1384,14000,217403,47473.941058
"kv_cache_write_fp8_e4m3_batched",64,6597087,103079.484375,0.1336,97921,109762,3208.262834
"__amd_rocclr_fillBufferUnAligned",2016,3525446,1748.733135,0.0714,1080,13440,815.356108
"gemv_mq4g256v2_multirow_r2",2,2189790,1094895.000000,0.0444,1087655,1102135,10238.906192
"embedding_q8_batched",2,492526,246263.000000,9.977e-03,192482,300044,76057.819598
"__amd_rocclr_copyBuffer",180,490483,2724.905556,9.936e-03,1800,3400,346.066091
"mq_rotate_x",2,4400,2200.000000,8.913e-05,2200,2200,0.00000000e+00
