"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2209540119,3002092.552989,48.85,52720,6076924,2432874.477728
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1048757236,4096707.953125,23.18,1958867,6203966,1948740.342034
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,402440550,12576267.187500,8.90,11792882,12712576,154266.542896
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270487623,2113184.554688,5.98,2105189,2132150,5645.729529
"gdn_chunk_scan",1536,153900945,100195.927734,3.40,85242,105761,2860.783666
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,120220833,469612.628906,2.66,417326,536568,14764.862307
"gated_norm_mq_rotate_awq_i4_gfx12",96,96363369,1003785.093750,2.13,881173,1042175,26578.652907
"gdn_chunk_prep",96,86626676,902361.208333,1.92,898013,910652,2326.295419
"deinterleave_q_rmsnorm_f32_batched",32,44837656,1401176.750000,0.9912,1390739,1412699,5689.568967
"gdn_chunk_kkt_solve",1536,35090017,22845.063151,0.7757,19640,29040,593.282813
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23473286,733540.187500,0.5189,730410,748771,5625.398753
"rope_partial_halfsplit_batched_f32",32,12547972,392124.125000,0.2774,389405,395685,1444.683998
"rmsnorm_f32",34,7361785,216523.088235,0.1627,14640,244443,51399.420309
"kv_cache_write_fp8_e4m3_batched",64,5369598,83899.968750,0.1187,72761,102882,10330.579192
"__amd_rocclr_fillBufferUnAligned",1824,3191522,1749.737939,0.0706,1080,13920,722.695219
"gemv_mq4g256v2_multirow_r2",2,2168550,1084275.000000,0.0479,1077855,1090695,9079.251070
"embedding_q8_batched",2,599848,299924.000000,0.0133,299804,300044,169.705627
"__amd_rocclr_copyBuffer",180,497526,2764.033333,0.0110,2000,4160,287.442565
"mq_rotate_x",2,4760,2380.000000,1.052e-04,2360,2400,28.284271
