"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",128,2661844368,20795659.125000,38.08,19393466,21132087,254929.461841
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201_symfold",256,1695729658,6623943.976562,24.26,3178636,10031197,3155236.482525
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",96,906208560,9439672.500000,12.96,8359056,9641352,156897.178654
"fused_silu_mul_mq_rotate_awq_mq4v2_fp8_gfx12",128,408609108,3192258.656250,5.85,3184956,3203077,3516.577446
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,384688305,12021509.531250,5.50,11046848,12168822,191829.653790
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",32,267998638,8374957.437500,3.83,7878732,8502139,107001.639141
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",256,174366699,681119.917969,2.49,664648,769009,7789.475803
"gdn_chunk_scan",1536,145936854,95010.972656,2.09,85001,101521,1723.987945
"gated_norm_mq_rotate_awq_mq4v2_fp8_gfx12",96,113583280,1183159.166667,1.62,1155854,1197494,5665.333345
"gdn_chunk_prep",96,86819327,904367.989583,1.24,899090,912490,2238.878429
"deinterleave_q_rmsnorm_f32_batched",32,44363474,1386358.562500,0.6347,1378016,1398776,5417.851836
"sigmoid_mul_rotate_x_mq_awq_mq4v2_fp8_gfx12",32,35347648,1104614.000000,0.5057,1102133,1106492,1069.704451
"gdn_chunk_kkt_solve",1536,33392205,21739.716797,0.4777,19440,22560,365.382635
"rope_partial_halfsplit_batched_f32",32,11711534,365985.437500,0.1676,362004,369324,1647.393443
"rmsnorm_f32",34,7022806,206553.117647,0.1005,14320,222403,48818.723280
"kv_cache_write_fp8_e4m3_batched",64,5886270,91972.968750,0.0842,86801,103921,4325.715571
"__amd_rocclr_fillBufferUnAligned",1824,3118311,1709.600329,0.0446,1120,13120,668.674670
"gemv_mq4g256v2_multirow_r2",2,2153304,1076652.000000,0.0308,1076412,1076892,339.411255
"__amd_rocclr_copyBuffer",180,492926,2738.477778,7.052e-03,2000,3560,351.914071
"embedding_q8_batched",2,492045,246022.500000,7.040e-03,191442,300603,77188.483341
"mq_rotate_x",2,4640,2320.000000,6.638e-05,2320,2320,0.00000000e+00
