"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2143380198,2912201.355978,43.40,52241,5894479,2355047.677189
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1006205436,3930489.984375,20.37,1846505,5965399,1875769.885346
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,389020907,12156903.343750,7.88,11461353,12350164,150913.375361
"fused_silu_mul_mq_rotate_awq",128,360973565,2820105.976562,7.31,2815078,2838558,3933.324169
"quantize_int4_mmq_row",512,345232844,674282.898438,6.99,377045,1797703,449184.089135
"gdn_chunk_scan",1536,147500076,96028.695312,2.99,84841,103201,2108.865373
"fused_rmsnorm_mq_rotate_awq",256,142429175,556363.964844,2.88,552247,688370,10960.219662
"gated_norm_f32",96,96078441,1000817.093750,1.95,997013,1018494,2703.388330
"gdn_chunk_prep",96,86324348,899211.958333,1.75,895892,905452,1806.371431
"rotate_x_mq_awq",128,80481324,628760.343750,1.63,621649,651849,5913.040864
"deinterleave_q_rmsnorm_f32_batched",32,44666798,1395837.437500,0.9044,1385859,1409019,5752.239878
"gdn_chunk_kkt_solve",1536,33721553,21954.136068,0.6827,19320,22681,430.726934
"sigmoid_mul_f32",32,31202455,975076.718750,0.6317,972093,980813,2498.032248
"rope_partial_halfsplit_batched_f32",32,11804477,368889.906250,0.2390,364965,373045,2034.541977
"rmsnorm_f32",34,7109775,209111.029412,0.1439,14560,228043,49494.875801
"kv_cache_write_fp8_e4m3_batched",64,6167000,96359.375000,0.1249,92601,107802,2798.381185
"__amd_rocclr_fillBufferUnAligned",2016,3602607,1787.007440,0.0729,1120,14080,777.628938
"gemv_mq4g256v2_multirow_r2",2,2180028,1090014.000000,0.0441,1089734,1090294,395.979797
"__amd_rocclr_copyBuffer",180,499727,2776.261111,0.0101,1880,3640,386.187284
"embedding_q8_batched",2,493566,246783.000000,9.993e-03,192762,300804,76397.230853
"mq_rotate_x",2,4680,2340.000000,9.475e-05,2320,2360,28.284271
