"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2216905492,3012099.853261,48.88,52801,6113883,2439906.425973
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1050309433,4102771.222656,23.16,1974707,6240165,1952670.125165
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,404786601,12649581.281250,8.92,12154765,12877455,120164.274023
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,270579622,2113903.296875,5.97,2106229,2133789,5182.525185
"gdn_chunk_scan",1536,154534578,100608.449219,3.41,85441,108601,2661.512123
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,120702660,471494.765625,2.66,418125,522887,14412.223399
"gated_norm_mq_rotate_awq_i4_gfx12",96,96871231,1009075.322917,2.14,882211,1024814,23579.488213
"gdn_chunk_prep",96,86609411,902181.364583,1.91,897012,907772,2035.812628
"deinterleave_q_rmsnorm_f32_batched",32,44859729,1401866.531250,0.9891,1392419,1412099,4626.640759
"gdn_chunk_kkt_solve",1536,35194414,22913.029948,0.7760,19640,23920,530.089829
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,23458958,733092.437500,0.5172,729530,748410,4006.922284
"rope_partial_halfsplit_batched_f32",32,11687958,365248.687500,0.2577,361485,369365,1816.915916
"rmsnorm_f32",34,7426980,218440.588235,0.1638,14640,236323,51771.872059
"kv_cache_write_fp8_e4m3_batched",64,4959632,77494.250000,0.1094,64320,90161,11685.909719
"__amd_rocclr_fillBufferUnAligned",1824,3323685,1822.195724,0.0733,1080,14040,1064.841099
"gemv_mq4g256v2_multirow_r2",2,2167990,1083995.000000,0.0478,1077895,1090095,8626.702730
"embedding_q8_batched",2,601088,300544.000000,0.0133,298484,302604,2913.279938
"__amd_rocclr_copyBuffer",180,497844,2765.800000,0.0110,2040,4560,310.129445
"mq_rotate_x",2,4760,2380.000000,1.050e-04,2360,2400,28.284271
