"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemv_mq4g256v2_multirow_r2",2050,2206134437,1076163.140000,54.93,1066650,1101930,6206.998575
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",256,661913618,2585600.070312,16.48,2398782,2692065,60154.198179
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201_symfold",512,441760243,862812.974609,11.00,438364,1299452,393210.529128
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",192,231672986,1206630.135417,5.77,1117450,1262891,31454.170932
"gated_delta_net_q8_fast",192,104254550,542992.447917,2.60,523125,584125,14981.738500
"fused_silu_mul_mq_rotate_awq_mq4v2_fp8_gfx12",256,103094773,402713.957031,2.57,399604,409603,1536.620114
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201_symfold",64,68419821,1069059.703125,1.70,997889,1107050,26442.779071
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",512,37148099,72554.880859,0.9249,59321,83241,8681.611306
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",96,36729694,382600.979167,0.9145,274723,485045,75014.830299
"gdn_pre_batched_gfx1201",96,31248762,325507.937500,0.7780,321723,331523,2185.589709
"gated_norm_mq_rotate_awq_mq4v2_fp8_gfx12",192,30111826,156832.427083,0.7497,144561,164842,6288.191661
"gdn_chunk_scan",192,16888675,87961.848958,0.4205,79561,92881,3860.417292
"deinterleave_q_rmsnorm_f32_batched",64,10992461,171757.203125,0.2737,167682,177002,1925.356922
"gdn_chunk_prep",96,10761898,112103.104167,0.2680,110281,114601,731.750151
"sigmoid_mul_rotate_x_mq_awq_mq4v2_fp8_gfx12",64,8441636,131900.562500,0.2102,125601,138482,4490.430177
"mq_rotate_x",2050,4977689,2428.140976,0.1239,2040,2760,69.264787
"gdn_chunk_kkt_solve",192,3423745,17832.005208,0.0852,16040,18880,807.220014
"kv_cache_write_fp8_e4m3_batched",192,2682024,13968.875000,0.0668,5760,25121,3164.201082
"rope_partial_halfsplit_batched_f32",64,1835860,28685.312500,0.0457,27640,30360,644.931075
"rmsnorm_f32",68,1771934,26057.852941,0.0441,14480,65800,7200.904608
"__amd_rocclr_fillBufferUnAligned",704,1414852,2009.732955,0.0352,1120,13320,1574.197008
"__amd_rocclr_copyBuffer",188,544481,2896.175532,0.0136,1920,11480,973.053222
"embedding_q8_batched",4,129881,32470.250000,3.234e-03,30720,37041,3058.754689
