"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_shiftfold",736,2167401991,2944839.661685,43.82,99881,5871360,2374563.562790
"gemm_mq4g256v2_residual_mmq_iu4_full_add_shiftfold",256,1006314987,3930917.917969,20.35,1968707,5877479,1765306.542793
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,373652632,11676644.750000,7.56,11428315,11802720,74252.392448
"fused_silu_mul_mq_rotate_awq",128,363834893,2842460.101562,7.36,2833759,2866079,6724.231387
"quantize_int4_mmq_row",512,344921680,673675.156250,6.97,378205,2895199,453758.598688
"fused_rmsnorm_mq_rotate_awq",256,144192330,563251.289062,2.92,559088,687810,10258.357220
"gdn_chunk_scan",1536,138976120,90479.244792,2.81,80641,96761,1596.586622
"gated_norm_f32",96,96187394,1001952.020833,1.94,997854,1019534,2606.349280
"gdn_chunk_prep",96,87745550,914016.145833,1.77,908613,920692,2270.245032
"rotate_x_mq_awq",128,80425292,628322.593750,1.63,620928,650809,6413.726770
"deinterleave_q_rmsnorm_f32_batched",32,45788097,1430878.031250,0.9258,1420219,1449219,5863.948078
"gdn_chunk_kkt_solve",1536,32017608,20844.796875,0.6474,18800,26801,374.712802
"sigmoid_mul_f32",32,31213861,975433.156250,0.6311,973053,980813,2160.626882
"rope_partial_halfsplit_batched_f32",32,12183803,380743.843750,0.2464,377165,384125,1791.591113
"rmsnorm_f32",34,6844054,201295.705882,0.1384,13720,217803,47601.904664
"kv_cache_write_fp8_e4m3_batched",64,6620131,103439.546875,0.1339,98641,114401,3762.293567
"__amd_rocclr_fillBufferUnAligned",2016,4135440,2051.309524,0.0836,1080,13040,1774.800819
"gemv_mq4g256v2_multirow_r2",2,2200750,1100375.000000,0.0445,1100255,1100495,169.705627
"__amd_rocclr_copyBuffer",180,510683,2837.127778,0.0103,1840,3800,424.410193
"embedding_q8_batched",2,493406,246703.000000,9.977e-03,192002,301404,77358.896075
"mq_rotate_x",2,4400,2200.000000,8.897e-05,2200,2200,0.00000000e+00
