"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,2152231786,2924227.970109,43.40,52441,5898524,2367551.238366
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,1011412428,3950829.796875,20.40,1883827,6028766,1871599.214098
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",32,393624960,12300780.000000,7.94,11684446,12516218,138263.058586
"fused_silu_mul_mq_rotate_awq",128,361573103,2824789.867188,7.29,2818801,2843720,5764.599328
"quantize_int4_mmq_row",512,344186935,672240.107422,6.94,378725,1450621,444883.520057
"gdn_chunk_scan",1536,149118482,97082.345052,3.01,85402,103161,2163.912316
"fused_rmsnorm_mq_rotate_awq",256,142372710,556143.398438,2.87,552408,692050,12007.371521
"gated_norm_f32",96,96241684,1002517.541667,1.94,997455,1021854,3480.680054
"gdn_chunk_prep",96,86469030,900719.062500,1.74,896653,912013,2154.064383
"rotate_x_mq_awq",128,80343860,627686.406250,1.62,621649,649689,5346.944401
"deinterleave_q_rmsnorm_f32_batched",32,44759635,1398738.593750,0.9026,1388060,1410060,5057.504745
"gdn_chunk_kkt_solve",1536,34317811,22342.324870,0.6921,19761,25280,462.027982
"sigmoid_mul_f32",32,31214005,975437.656250,0.6295,973693,980894,1264.968382
"rope_partial_halfsplit_batched_f32",32,11705330,365791.562500,0.2361,363365,369046,1418.091310
"rmsnorm_f32",34,7226465,212543.088235,0.1457,14520,235204,50311.273773
"kv_cache_write_fp8_e4m3_batched",64,4985670,77901.093750,0.1005,64881,98961,12172.397036
"__amd_rocclr_fillBufferUnAligned",2016,3756498,1863.342262,0.0758,1120,13160,1134.260179
"gemv_mq4g256v2_multirow_r2",2,2179870,1089935.000000,0.0440,1089855,1090015,113.137085
"embedding_q8_batched",2,603089,301544.500000,0.0122,300044,303045,2122.027450
"__amd_rocclr_copyBuffer",180,498326,2768.477778,0.0100,1920,3800,291.694614
"mq_rotate_x",2,4640,2320.000000,9.357e-05,2320,2320,0.00000000e+00
