"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_lf16_col_gfx1151",272,4002894384,14716523.470588,47.83,1209185,21930525,7200972.631109
"gemm_mq4g256v2_residual_mmq_iu4_full_add_occ3_col_gfx1151",128,2188365133,17096602.601562,26.15,10212533,23713586,6176837.621463
"attention_q8_0_fa2_gqa_gfx11",192,536420235,2793855.390625,6.41,291185,5440112,1522821.652843
"gemm_mq4g256v2_residual_mmq_iu4_tail_gridspec",400,322026676,805066.690000,3.85,157575,1346522,374713.148148
"fused_silu_mul_mq_rotate_awq_i4",64,289100232,4517191.125000,3.45,4271482,5952812,259179.315132
"fused_rmsnorm_mq_rotate_awq_i4",128,201967656,1577872.312500,2.41,1414129,2824572,199091.684531
"gdn_chunk_scan",576,174368432,302722.972222,2.08,195165,328896,31680.134310
"gated_norm_mq_rotate_awq_i4_gfx11",48,136898914,2852060.708333,1.64,2789706,3794990,141232.999644
"gemm_mq4g256v2_residual_wmma_gfx11_mw4_lds",96,120118352,1251232.833333,1.44,1078140,1533273,90111.212372
"gdn_chunk_prep",48,109682243,2285046.729167,1.31,2212345,2345233,29170.142558
"rope_partial_halfsplit_batched_f32",16,56361755,3522609.687500,0.6734,3257383,3684904,104776.960006
"deinterleave_q_rmsnorm_f32_batched",16,42066010,2629125.625000,0.5026,2596585,2753920,38989.032097
"convert_f32_to_f16",48,37362760,778390.833333,0.4464,762789,1108557,49982.566288
"fused_gate_up_mq4g256v2",64,27922955,436296.171875,0.3336,422552,590587,28211.178648
"gdn_chunk_kkt_solve",576,25999251,45137.588542,0.3106,31138,54221,4223.988566
"sigmoid_mul_rotate_x_mq_awq_i4_gfx11",16,25467307,1591706.687500,0.3043,1478009,3064742,392887.986649
"gemv_mq4g256v2_residual_row_serial_gfx1151",128,19150555,149613.710938,0.2288,76383,295633,71667.937074
"attention_fa2_q_preconvert_gfx11",192,15208726,79212.114583,0.1817,45405,138980,19086.811051
"fused_qkvza_mq4g256v2",48,9837388,204945.583333,0.1175,197771,315591,20765.221704
"gemv_mq4g256v2_multirow_r2",2,5913758,2956879.000000,0.0707,2952691,2961067,5922.726399
"kv_cache_write_q8_0_batched",384,5579158,14529.057292,0.0667,7935,49773,4445.263153
"rmsnorm_f32",50,4104577,82091.540000,0.0490,1843,698429,132053.967935
"fused_qkv_mq4g256v2",16,2874865,179679.062500,0.0343,173285,255078,20120.893130
"__amd_rocclr_copyBuffer",375,2005188,5347.168000,0.0240,1002,17994,4504.044319
"attention_flash_q8_0_tile",16,1927130,120445.625000,0.0230,101991,351218,61660.893845
"__amd_rocclr_fillBufferUnAligned",576,1524101,2646.008681,0.0182,721,8616,2103.163773
"gated_delta_net_q8_fast",48,1364078,28418.291667,0.0163,25688,52819,4581.861876
"fused_rmsnorm_mq_rotate_awq",128,936590,7317.109375,0.0112,5811,29496,3872.663708
"embedding_q8_batched",1,749765,749765.000000,8.958e-03,749765,749765,0.00000000e+00
"fused_silu_mul_mq_rotate_awq",64,241655,3775.859375,2.887e-03,2044,11381,2337.167780
"attention_flash_q8_0_reduce",16,241292,15080.750000,2.883e-03,12143,50455,9438.454114
"conv1d_silu_split_qknorm_b256",48,153250,3192.708333,1.831e-03,2605,9939,1314.703525
"gated_norm_f32",48,141584,2949.666667,1.692e-03,2444,12704,1804.342756
"rotate_x_mq_awq",64,138978,2171.531250,1.660e-03,1442,9698,1653.766427
"repeat_interleave_qk_f32",48,129484,2697.583333,1.547e-03,1082,7174,2282.802820
"fused_sigmoid_alpha_gate_f32",48,99785,2078.854167,1.192e-03,1403,7173,1276.772877
"rope_partial_halfsplit_f32",16,93577,5848.562500,1.118e-03,4288,26089,5400.235081
"sample_topk_partial_fast21",2,58590,29295.000000,7.000e-04,27171,31419,3003.789606
"kv_cache_write_q8_0",32,53898,1684.312500,6.440e-04,1162,7975,1333.431916
"sample_topk_finalize_fast21",2,44323,22161.500000,5.296e-04,21881,22442,396.686904
"deinterleave_f32",16,30456,1903.500000,3.639e-04,1282,6933,1351.272437
"sigmoid_mul_f32",16,24568,1535.500000,2.935e-04,1082,6372,1294.418531
"embedding_q8",1,21961,21961.000000,2.624e-04,21961,21961,0.00000000e+00
"mq_rotate_x",2,3206,1603.000000,3.830e-05,1603,1603,0.00000000e+00
