"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,1127729827,1532241.612772,48.83,40400,6009462,2239229.202673
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,535102956,2090245.921875,23.17,67001,6140303,2396855.942443
"attention_fp8_e4m3_fa2_gqa_qresident_gfx1201",32,183050290,5720321.562500,7.93,1043251,10789272,4724987.772422
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,136374686,1065427.234375,5.91,17480,2132862,1051024.773183
"gdn_chunk_scan",816,76860552,94191.852941,3.33,24280,105161,17606.199076
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,60516982,236394.460938,2.62,10160,487045,226576.435268
"gated_norm_mq_rotate_awq_i4_gfx12",96,47936853,499342.218750,2.08,12960,1010490,488913.950164
"gdn_chunk_prep",96,45098703,469778.156250,1.95,36600,941330,433785.999108
"deinterleave_q_rmsnorm_f32_batched",32,22612675,706646.093750,0.9791,12040,1414134,705191.304948
"gdn_chunk_kkt_solve",816,17940804,21986.279412,0.7768,12440,28080,2389.034558
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,11931481,372858.781250,0.5166,8800,750008,369661.679926
"fused_gate_up_mq4g256v2",64,10065941,157280.328125,0.4359,152161,164002,3943.667313
"gemv_mq4g256v2_residual",128,7304118,57063.421875,0.3163,31241,81681,23407.492471
"rope_partial_halfsplit_batched_f32",32,6494547,202954.593750,0.2812,8920,400004,196898.481285
"rmsnorm_f32",67,3784038,56478.179104,0.1639,2280,232042,95536.607112
"fused_qkvza_mq4g256v2",48,3637477,75780.770833,0.1575,72840,87281,4193.634610
"gemv_mq4g256v2_multirow_r2",3,3233313,1077771.000000,0.1400,1074451,1080891,3224.655020
"kv_cache_write_fp8_e4m3_batched",64,2786707,43542.296875,0.1207,1880,97481,42337.294492
"attention_flash_fp8_e4m3_tile",16,1196092,74755.750000,0.0518,72920,76560,1079.645713
"__amd_rocclr_copyBuffer",378,1187765,3142.235450,0.0514,1520,7600,1435.014576
"fused_qkv_mq4g256v2",16,1169133,73070.812500,0.0506,72521,74281,399.287903
"fused_rmsnorm_mq_rotate_awq",128,860206,6720.359375,0.0372,6360,7240,135.488311
"__amd_rocclr_fillBufferUnAligned",288,633722,2200.423611,0.0274,1400,12120,1527.405067
"gated_delta_net_q8_fast",48,389323,8110.895833,0.0169,7760,8520,161.689516
"attention_flash_q8_0_reduce",16,335564,20972.750000,0.0145,20761,21240,135.125374
"embedding_q8_batched",2,205882,102941.000000,8.915e-03,13640,192242,126290.685333
"fused_silu_mul_mq_rotate_awq",64,148202,2315.656250,6.417e-03,2080,2840,183.105245
"gated_norm_f32",48,139603,2908.395833,6.045e-03,2720,3400,156.364242
"rotate_x_mq_awq",64,115362,1802.531250,4.995e-03,1680,2200,98.772782
"rope_partial_halfsplit_f32",16,112360,7022.500000,4.865e-03,6880,7160,91.177483
"conv1d_silu_split_qknorm_b256",48,106841,2225.854167,4.626e-03,2040,2720,144.704834
"fused_sigmoid_alpha_gate_f32",48,100280,2089.166667,4.342e-03,1880,2520,174.500300
"repeat_interleave_qk_f32",48,77960,1624.166667,3.376e-03,1440,2200,176.343877
"kv_cache_write_fp8_e4m3",32,62523,1953.843750,2.707e-03,1800,2160,108.120336
"sample_topk_partial_fast21",2,46440,23220.000000,2.011e-03,23080,23360,197.989899
"deinterleave_f32",16,32321,2020.062500,1.400e-03,1920,2080,43.727137
"sample_topk_finalize_fast21",2,29480,14740.000000,1.276e-03,14640,14840,141.421356
"sigmoid_mul_f32",16,26840,1677.500000,1.162e-03,1600,1920,76.550637
"mq_rotate_x",3,6480,2160.000000,2.806e-04,2000,2360,183.303028
"embedding_q8",1,6320,6320.000000,2.737e-04,6320,6320,0.00000000e+00
