"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",368,805663450,2189302.853261,36.46,46001,4923449,1782170.363454
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",128,376673364,2942760.656250,17.05,1436094,4444844,1346999.604020
"gated_delta_net_q8_fast",624,316650139,507452.145833,14.33,7480,616646,163826.263699
"attention_q8_0_fa2_gqa_gfx1201",176,308753373,1754280.528409,13.97,228043,2996830,843535.618732
"fused_silu_mul_mq_rotate_awq_i4_gfx12",64,94711693,1479870.203125,4.29,1476215,1495015,3641.706635
"gdn_pre_batched_gfx1201",48,93176522,1941177.541667,4.22,1774137,2011980,63460.207027
"attention_q8_0_flash_prefill_wmma",16,68615960,4288497.500000,3.11,4222322,4452484,53048.987930
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",128,41260685,322349.101562,1.87,286562,362643,17146.619939
"gated_norm_mq_rotate_awq_i4_gfx12",48,31852515,663594.062500,1.44,584246,691287,27949.839807
"deinterleave_q_rmsnorm_f32_batched",16,16224402,1014025.125000,0.7342,1006370,1025371,5367.924129
"fused_gate_up_mq4g256v2",64,10096940,157764.687500,0.4569,152241,173001,4164.000301
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",16,8517606,532350.375000,0.3854,530325,539766,2902.184278
"gemv_mq4g256v2_residual",128,7306469,57081.789062,0.3306,29120,81441,23342.762931
"attention_fa2_q_preconvert_gfx1201",176,5993690,34055.056818,0.2712,30800,39800,2881.536564
"kv_cache_write_q8_0_batched",384,5286018,13765.671875,0.2392,4760,21720,5914.335610
"rope_partial_halfsplit_batched_f32",16,4202166,262635.375000,0.1902,261483,264482,884.622396
"fused_qkvza_mq4g256v2",48,3666397,76383.270833,0.1659,72921,110681,6347.192181
"rmsnorm_f32",50,2711945,54238.900000,0.1227,2240,167201,75522.004997
"gemv_mq4g256v2_multirow_r2",2,2149180,1074590.000000,0.0973,1069250,1079930,7551.900423
"fused_qkv_mq4g256v2",16,1172689,73293.062500,0.0531,72961,73640,216.886904
"__amd_rocclr_copyBuffer",375,1156449,3083.864000,0.0523,1400,7880,1431.021185
"attention_flash_q8_0_tile",16,1061448,66340.500000,0.0480,62840,68001,1060.088172
"fused_rmsnorm_mq_rotate_awq",128,861812,6732.906250,0.0390,6320,7560,157.607378
"__amd_rocclr_fillBufferUnAligned",288,594364,2063.763889,0.0269,1360,11680,1031.217142
"attention_flash_q8_0_reduce",16,274525,17157.812500,0.0124,16720,17760,246.837117
"fused_silu_mul_mq_rotate_awq",64,149561,2336.890625,6.768e-03,2080,2800,203.049069
"gated_norm_f32",48,136920,2852.500000,6.196e-03,2760,3440,134.362165
"embedding_q8_batched",1,124081,124081.000000,5.615e-03,124081,124081,0.00000000e+00
"rotate_x_mq_awq",64,115242,1800.656250,5.215e-03,1680,2360,115.446300
"rope_partial_halfsplit_f32",16,112242,7015.125000,5.079e-03,6840,7241,126.475755
"conv1d_silu_split_qknorm_b256",48,110080,2293.333333,4.981e-03,2040,2880,177.420445
"fused_sigmoid_alpha_gate_f32",48,99320,2069.166667,4.495e-03,1880,2400,157.153311
"repeat_interleave_qk_f32",48,85880,1789.166667,3.886e-03,1680,2240,95.066233
"kv_cache_write_q8_0",32,62601,1956.281250,2.833e-03,1720,2280,138.661629
"sample_topk_partial_fast21",2,49560,24780.000000,2.243e-03,23280,26280,2121.320344
"deinterleave_f32",16,32520,2032.500000,1.472e-03,1960,2160,48.921706
"sample_topk_finalize_fast21",2,31040,15520.000000,1.405e-03,14600,16440,1301.076477
"sigmoid_mul_f32",16,27360,1710.000000,1.238e-03,1600,1960,95.219046
"embedding_q8",1,17121,17121.000000,7.748e-04,17121,17121,0.00000000e+00
"mq_rotate_x",2,4440,2220.000000,2.009e-04,2040,2400,254.558441
