"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,1125694790,1529476.616848,34.91,40160,6376583,2241652.466734
"attention_q8_0_fa2_gqa_gfx1201",256,608430984,2376683.531250,18.87,238722,4357123,1181036.883041
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,530826820,2073542.265625,16.46,66161,6046780,2362912.140209
"gated_delta_net_q8_fast",864,438937226,508029.196759,13.61,7600,620927,166171.593461
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,136325472,1065042.750000,4.23,17720,2132621,1050538.078765
"gdn_pre_batched_gfx1201",96,131315187,1367866.531250,4.07,26920,2795468,1349116.552652
"attention_q8_0_flash_prefill_wmma",16,58447540,3652971.250000,1.81,3633556,3731357,22162.145689
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,58370339,228009.136719,1.81,10040,483925,218791.536601
"gated_norm_mq_rotate_awq_i4_gfx12",96,44058435,458942.031250,1.37,11880,934689,449471.697978
"deinterleave_q_rmsnorm_f32_batched",32,22679984,708749.500000,0.7034,12080,1418934,707573.362901
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,11937358,373042.437500,0.3702,8680,752608,369548.597293
"fused_gate_up_mq4g256v2",64,10081976,157530.875000,0.3127,152162,165682,3961.801640
"attention_fa2_q_preconvert_gfx1201",256,8581981,33523.363281,0.2662,28640,44401,3601.324247
"kv_cache_write_q8_0_batched",544,7461381,13715.773897,0.2314,2360,21760,6027.291734
"gemv_mq4g256v2_residual",128,7296507,57003.960938,0.2263,29320,86240,23547.991161
"rope_partial_halfsplit_batched_f32",32,6451705,201615.781250,0.2001,8880,399764,195684.519041
"rmsnorm_f32",67,3808560,56844.179104,0.1181,2240,229763,96258.538356
"fused_qkvza_mq4g256v2",48,3609637,75200.770833,0.1120,72881,82161,3595.709052
"gemv_mq4g256v2_multirow_r2",3,3226992,1075664.000000,0.1001,1067611,1087690,10612.733248
"attention_flash_q8_0_tile",16,1402014,87625.875000,0.0435,86680,88721,667.741554
"fused_qkv_mq4g256v2",16,1165727,72857.937500,0.0362,71641,73360,478.105911
"__amd_rocclr_copyBuffer",378,1157491,3062.145503,0.0359,1440,7521,1438.373373
"fused_rmsnorm_mq_rotate_awq",128,862614,6739.171875,0.0268,6440,7560,132.141842
"__amd_rocclr_fillBufferUnAligned",288,622769,2162.392361,0.0193,1320,12120,1461.221436
"attention_flash_q8_0_reduce",16,324963,20310.187500,0.0101,19960,20600,168.898873
"embedding_q8_batched",2,199363,99681.500000,6.183e-03,6481,192882,131805.411120
"fused_silu_mul_mq_rotate_awq",64,159880,2498.125000,4.959e-03,2080,2920,207.776398
"gated_norm_f32",48,135682,2826.708333,4.208e-03,2640,3440,118.508633
"conv1d_silu_split_qknorm_b256",48,116680,2430.833333,3.619e-03,2320,2640,83.432565
"rotate_x_mq_awq",64,115801,1809.390625,3.592e-03,1680,2200,97.658072
"rope_partial_halfsplit_f32",16,112764,7047.750000,3.497e-03,6880,7201,100.320486
"fused_sigmoid_alpha_gate_f32",48,98881,2060.020833,3.067e-03,1880,2520,162.739903
"repeat_interleave_qk_f32",48,78001,1625.020833,2.419e-03,1440,2120,171.409115
"kv_cache_write_q8_0",32,62120,1941.250000,1.927e-03,1680,2360,120.208153
"sample_topk_partial_fast21",2,46562,23281.000000,1.444e-03,23161,23401,169.705627
"deinterleave_f32",16,32440,2027.500000,1.006e-03,1960,2160,47.819104
"sample_topk_finalize_fast21",2,29280,14640.000000,9.081e-04,14400,14880,339.411255
"sigmoid_mul_f32",16,23880,1492.500000,7.406e-04,1360,2000,165.065644
"mq_rotate_x",3,6440,2146.666667,1.997e-04,1960,2280,166.533280
"embedding_q8",1,6160,6160.000000,1.910e-04,6160,6160,0.00000000e+00
