"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",368,789420007,2145163.062500,36.75,46320,4787060,1740023.490162
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",128,372088231,2906939.304688,17.32,1431406,4408539,1333540.817814
"attention_q8_0_fa2_gqa_gfx1201",192,340656490,1774252.552083,15.86,227761,2951932,809166.094252
"gated_delta_net_q8_fast",624,313678059,502689.197115,14.60,7760,610682,161829.861881
"fused_silu_mul_mq_rotate_awq_i4_gfx12",64,94786642,1481041.281250,4.41,1477687,1502926,5225.520818
"gdn_pre_batched_gfx1201",48,92606836,1929309.083333,4.31,1778408,1991048,59918.414127
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",128,40884011,319406.335938,1.90,284241,363642,16952.148178
"gated_norm_mq_rotate_awq_i4_gfx12",48,31563253,657567.770833,1.47,583963,686083,26281.295233
"deinterleave_q_rmsnorm_f32_batched",16,16205868,1012866.750000,0.7544,1004925,1021884,4495.645026
"fused_gate_up_mq4g256v2",64,10109286,157957.593750,0.4706,152280,172841,4492.398651
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",16,8492315,530769.687500,0.3953,529122,538122,2716.959298
"gemv_mq4g256v2_residual",128,7314543,57144.867188,0.3405,28880,81880,23359.420388
"attention_fa2_q_preconvert_gfx1201",192,6271344,32663.250000,0.2919,17280,39920,5313.125659
"kv_cache_write_q8_0_batched",384,5266424,13714.645833,0.2451,4760,21281,5844.731991
"rope_partial_halfsplit_batched_f32",16,4218618,263663.625000,0.1964,261561,265921,1240.904287
"fused_qkvza_mq4g256v2",48,3660937,76269.520833,0.1704,72640,110681,6324.435331
"rmsnorm_f32",50,2681412,53628.240000,0.1248,2280,164321,74652.907974
"gemv_mq4g256v2_multirow_r2",2,2149129,1074564.500000,0.1000,1069364,1079765,7354.617631
"fused_qkv_mq4g256v2",16,1167924,72995.250000,0.0544,72561,73280,227.783962
"__amd_rocclr_copyBuffer",375,1148806,3063.482667,0.0535,1440,7680,1428.808727
"attention_flash_q8_0_tile",16,1023564,63972.750000,0.0476,60880,66321,1996.464258
"fused_rmsnorm_mq_rotate_awq",128,854844,6678.468750,0.0398,6440,7280,123.796374
"__amd_rocclr_fillBufferUnAligned",288,625802,2172.923611,0.0291,1320,12160,1445.869933
"attention_flash_q8_0_reduce",16,276722,17295.125000,0.0129,17040,17680,169.032886
"fused_silu_mul_mq_rotate_awq",64,149481,2335.640625,6.958e-03,2040,3080,234.926018
"gated_norm_f32",48,135720,2827.500000,6.318e-03,2680,3400,141.037191
"embedding_q8_batched",1,124840,124840.000000,5.811e-03,124840,124840,0.00000000e+00
"rotate_x_mq_awq",64,114681,1791.890625,5.338e-03,1680,2280,108.598009
"rope_partial_halfsplit_f32",16,111280,6955.000000,5.180e-03,6720,7240,152.402975
"conv1d_silu_split_qknorm_b256",48,110440,2300.833333,5.141e-03,2040,2880,167.075385
"fused_sigmoid_alpha_gate_f32",48,99720,2077.500000,4.642e-03,1880,2440,176.279517
"repeat_interleave_qk_f32",48,85281,1776.687500,3.970e-03,1680,2200,95.462403
"kv_cache_write_q8_0",32,57442,1795.062500,2.674e-03,1600,2160,143.345047
"sample_topk_partial_fast21",2,49560,24780.000000,2.307e-03,23160,26400,2291.025971
"deinterleave_f32",16,33040,2065.000000,1.538e-03,1960,2200,68.313005
"sample_topk_finalize_fast21",2,30440,15220.000000,1.417e-03,14280,16160,1329.360749
"sigmoid_mul_f32",16,27081,1692.562500,1.261e-03,1600,2000,115.618896
"embedding_q8",1,14240,14240.000000,6.629e-04,14240,14240,0.00000000e+00
"mq_rotate_x",2,4240,2120.000000,1.974e-04,2080,2160,56.568542
