"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold",736,1126765816,1530931.815217,35.53,40520,6473902,2243970.298583
"attention_q8_0_fa2_gqa_gfx1201",32,612248539,19132766.843750,19.31,1162091,38598255,18247623.608546
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold",256,530950267,2074024.480469,16.74,66921,6068939,2352051.644036
"gated_delta_net_q8_fast",864,442748211,512440.059028,13.96,7760,633766,166694.824400
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,136306603,1064895.335938,4.30,17480,2151021,1050614.327564
"gdn_pre_batched_gfx1201",96,131646314,1371315.770833,4.15,27200,2818227,1351970.574647
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,58393973,228101.457031,1.84,10160,484645,218792.113202
"gated_norm_mq_rotate_awq_i4_gfx12",96,44195190,460366.562500,1.39,11920,931209,450798.967240
"deinterleave_q_rmsnorm_f32_batched",32,22597703,706178.218750,0.7126,12120,1406814,704882.208517
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,11913317,372291.156250,0.3757,8840,748048,368804.818095
"fused_gate_up_mq4g256v2",64,10059977,157187.140625,0.3172,152081,164201,3912.105713
"attention_fa2_q_preconvert_gfx1201",32,8146636,254582.375000,0.2569,5080,505685,253297.346980
"gemv_mq4g256v2_residual",128,7298353,57018.382812,0.2301,31280,82600,23385.410759
"rope_partial_halfsplit_batched_f32",32,6573346,205417.062500,0.2073,8840,403884,199459.909457
"kv_cache_write_q8_0_batched",64,3970197,62034.328125,0.1252,2520,123722,59734.724196
"rmsnorm_f32",67,3795073,56642.880597,0.1197,2240,232002,95892.932567
"fused_qkvza_mq4g256v2",48,3684596,76762.416667,0.1162,72960,83720,4332.446794
"gemv_mq4g256v2_multirow_r2",3,3227671,1075890.333333,0.1018,1067890,1085330,8808.641231
"attention_flash_q8_0_tile",16,1401614,87600.875000,0.0442,84121,89161,1165.023655
"fused_qkv_mq4g256v2",16,1169691,73105.687500,0.0369,72640,73681,331.824596
"__amd_rocclr_copyBuffer",378,1162886,3076.417989,0.0367,1400,7240,1439.224183
"fused_rmsnorm_mq_rotate_awq",128,858892,6710.093750,0.0271,6320,7360,149.540263
"__amd_rocclr_fillBufferUnAligned",288,620325,2153.906250,0.0196,1400,11841,1318.224059
"attention_flash_q8_0_reduce",16,326121,20382.562500,0.0103,20120,20640,167.095968
"embedding_q8_batched",2,198642,99321.000000,6.264e-03,6400,192242,131410.138429
"fused_silu_mul_mq_rotate_awq",64,159563,2493.171875,5.031e-03,2081,3120,213.304280
"gated_norm_f32",48,135761,2828.354167,4.281e-03,2720,3320,102.709151
"conv1d_silu_split_qknorm_b256",48,117882,2455.875000,3.717e-03,2320,2840,110.394385
"rotate_x_mq_awq",64,115243,1800.671875,3.634e-03,1680,2240,111.660917
"rope_partial_halfsplit_f32",16,112402,7025.125000,3.544e-03,6840,7240,108.117760
"fused_sigmoid_alpha_gate_f32",48,102721,2140.020833,3.239e-03,1920,2560,187.958856
"repeat_interleave_qk_f32",48,87081,1814.187500,2.746e-03,1720,2120,85.135601
"kv_cache_write_q8_0",32,62201,1943.781250,1.961e-03,1680,2240,161.195480
"sample_topk_partial_fast21",2,46520,23260.000000,1.467e-03,23160,23360,141.421356
"deinterleave_f32",16,32920,2057.500000,1.038e-03,1960,2200,61.913919
"sample_topk_finalize_fast21",2,29400,14700.000000,9.271e-04,14280,15120,593.969696
"sigmoid_mul_f32",16,23360,1460.000000,7.366e-04,1360,1960,152.490437
"mq_rotate_x",3,6200,2066.666667,1.955e-04,2000,2200,115.470054
"embedding_q8",1,6000,6000.000000,1.892e-04,6000,6000,0.00000000e+00
